Time,NodeID,Alleles,STATE_MALE
300,1,X,100747
300,1,Y,100747
301,1,X,100575
301,1,Y,100575
302,1,X,100530
302,1,Y,100530
303,1,X,100635
303,1,Y,100635
304,1,X,100595
304,1,Y,100595
305,1,X,100720
305,1,Y,100720
306,1,X,100655
306,1,Y,100655
307,1,X,100516
307,1,Y,100516
308,1,X,100679
308,1,Y,100679
309,1,X,100740
309,1,Y,100740
310,1,X,100875
310,1,Y,100875
311,1,X,100773
311,1,Y,100773
312,1,X,100650
312,1,Y,100650
313,1,X,100463
313,1,Y,100463
314,1,X,100435
314,1,Y,100435
315,1,X,100508
315,1,Y,100508
316,1,X,100588
316,1,Y,100588
317,1,X,100595
317,1,Y,100595
318,1,X,100475
318,1,Y,100475
319,1,X,100407
319,1,Y,100407
320,1,X,100584
320,1,Y,100584
321,1,X,100578
321,1,Y,100578
322,1,X,100876
322,1,Y,100876
323,1,X,100930
323,1,Y,100930
324,1,X,100897
324,1,Y,100897
325,1,X,100883
325,1,Y,100883
326,1,X,100835
326,1,Y,100835
327,1,X,101186
327,1,Y,101186
328,1,X,101140
328,1,Y,101140
329,1,X,101163
329,1,Y,101163
330,1,X,101181
330,1,Y,101181
331,1,X,100898
331,1,Y,100898
332,1,X,100860
332,1,Y,100860
333,1,X,100871
333,1,Y,100871
334,1,X,101117
334,1,Y,101117
335,1,X,101421
335,1,Y,101421
336,1,X,101458
336,1,Y,101458
337,1,X,101189
337,1,Y,101189
338,1,X,100838
338,1,Y,100838
339,1,X,100871
339,1,Y,100871
340,1,X,101091
340,1,Y,101091
341,1,X,101272
341,1,Y,101272
342,1,X,101209
342,1,Y,101209
343,1,X,100981
343,1,Y,100981
344,1,X,101025
344,1,Y,101025
345,1,X,101260
345,1,Y,101260
346,1,X,101529
346,1,Y,101529
347,1,X,101191
347,1,Y,101191
348,1,X,100981
348,1,Y,100981
349,1,X,100750
349,1,Y,100750
350,1,X,100633
350,1,Y,100633
351,1,X,100750
351,1,Y,100750
352,1,X,100866
352,1,Y,100866
353,1,X,101024
353,1,Y,101024
354,1,X,100953
354,1,Y,100953
355,1,X,100843
355,1,Y,100843
356,1,X,100800
356,1,Y,100800
357,1,X,100871
357,1,Y,100871
358,1,X,100856
358,1,Y,100856
359,1,X,100888
359,1,Y,100888
360,1,X,101087
360,1,Y,101087
361,1,X,100939
361,1,Y,100939
362,1,X,101163
362,1,Y,101163
363,1,X,101412
363,1,Y,101412
364,1,X,101022
364,1,Y,101022
365,1,X,100906
365,1,Y,100906
366,1,X,100873
366,1,Y,100873
367,1,X,100630
367,1,Y,100630
368,1,X,100621
368,1,Y,100621
369,1,X,100755
369,1,Y,100755
370,1,X,100601
370,1,Y,100601
371,1,X,100382
371,1,Y,100382
372,1,X,100329
372,1,Y,100329
373,1,X,100767
373,1,Y,100767
374,1,X,100758
374,1,Y,100758
375,1,X,100626
375,1,Y,100626
376,1,X,100563
376,1,Y,100563
377,1,X,100556
377,1,Y,100556
378,1,X,100416
378,1,Y,100416
379,1,X,100380
379,1,Y,100380
380,1,X,100446
380,1,Y,100446
381,1,X,100621
381,1,Y,100621
382,1,X,100601
382,1,Y,100601
383,1,X,100640
383,1,Y,100640
384,1,X,100611
384,1,Y,100611
385,1,X,100656
385,1,Y,100656
386,1,X,100935
386,1,Y,100935
387,1,X,101017
387,1,Y,101017
388,1,X,100949
388,1,Y,100949
389,1,X,100793
389,1,Y,100793
390,1,X,100691
390,1,Y,100691
391,1,X,100699
391,1,Y,100699
392,1,X,100730
392,1,Y,100730
393,1,X,100701
393,1,Y,100701
394,1,X,100692
394,1,Y,100692
395,1,X,100558
395,1,Y,100558
396,1,X,100607
396,1,Y,100607
397,1,X,100553
397,1,Y,100553
398,1,X,100682
398,1,Y,100682
399,1,X,100886
399,1,Y,100886
400,1,X,100834
400,1,Y,100834
401,1,X,100672
401,1,Y,100672
402,1,X,100905
402,1,Y,100905
403,1,X,100844
403,1,Y,100844
404,1,X,101183
404,1,Y,101183
405,1,X,101116
405,1,Y,101116
406,1,X,101201
406,1,Y,101201
407,1,X,101143
407,1,Y,101143
408,1,X,101020
408,1,Y,101020
409,1,X,101039
409,1,Y,101039
410,1,X,101090
410,1,Y,101090
