Time,NodeID,Alleles,VectorPopulation
247,1,X,100568
247,1,Y,0
248,1,X,100753
248,1,Y,0
249,1,X,100848
249,1,Y,0
250,1,X,100744
250,1,Y,0
251,1,X,100803
251,1,Y,0
252,1,X,101002
252,1,Y,0
253,1,X,101173
253,1,Y,0
254,1,X,101429
254,1,Y,0
255,1,X,101424
255,1,Y,0
256,1,X,101156
256,1,Y,0
257,1,X,101200
257,1,Y,0
258,1,X,100840
258,1,Y,0
259,1,X,100820
259,1,Y,0
260,1,X,100887
260,1,Y,0
261,1,X,100568
261,1,Y,0
262,1,X,100497
262,1,Y,0
263,1,X,100375
263,1,Y,0
264,1,X,100451
264,1,Y,0
265,1,X,100604
265,1,Y,0
266,1,X,100587
266,1,Y,0
267,1,X,100595
267,1,Y,0
268,1,X,100598
268,1,Y,0
269,1,X,100618
269,1,Y,0
270,1,X,100483
270,1,Y,0
271,1,X,100403
271,1,Y,0
272,1,X,100520
272,1,Y,0
273,1,X,100491
273,1,Y,0
274,1,X,100555
274,1,Y,0
275,1,X,100490
275,1,Y,0
276,1,X,100477
276,1,Y,0
277,1,X,100441
277,1,Y,0
278,1,X,100550
278,1,Y,0
279,1,X,100477
279,1,Y,0
280,1,X,100428
280,1,Y,0
281,1,X,100509
281,1,Y,0
282,1,X,100610
282,1,Y,0
283,1,X,100676
283,1,Y,0
284,1,X,100871
284,1,Y,0
285,1,X,100685
285,1,Y,0
286,1,X,100817
286,1,Y,0
287,1,X,100975
287,1,Y,0
288,1,X,100883
288,1,Y,0
289,1,X,100799
289,1,Y,0
290,1,X,100807
290,1,Y,0
291,1,X,101252
291,1,Y,0
292,1,X,101427
292,1,Y,0
293,1,X,101338
293,1,Y,0
294,1,X,101139
294,1,Y,0
295,1,X,100999
295,1,Y,0
296,1,X,100969
296,1,Y,0
297,1,X,100880
297,1,Y,0
298,1,X,100898
298,1,Y,0
299,1,X,100975
299,1,Y,0
300,1,X,100967
300,1,Y,0
301,1,X,101119
301,1,Y,0
302,1,X,101302
302,1,Y,0
303,1,X,101230
303,1,Y,0
304,1,X,101159
304,1,Y,0
305,1,X,101066
305,1,Y,0
306,1,X,100868
306,1,Y,0
307,1,X,100960
307,1,Y,0
308,1,X,101067
308,1,Y,0
309,1,X,101177
309,1,Y,0
310,1,X,101128
310,1,Y,0
311,1,X,101107
311,1,Y,0
312,1,X,101260
312,1,Y,0
313,1,X,101452
313,1,Y,0
314,1,X,101300
314,1,Y,0
315,1,X,101328
315,1,Y,0
316,1,X,101303
316,1,Y,0
317,1,X,101224
317,1,Y,0
318,1,X,101269
318,1,Y,0
319,1,X,101270
319,1,Y,0
320,1,X,101496
320,1,Y,0
321,1,X,101495
321,1,Y,0
322,1,X,101604
322,1,Y,0
323,1,X,101426
323,1,Y,0
324,1,X,101454
324,1,Y,0
325,1,X,101452
325,1,Y,0
326,1,X,101458
326,1,Y,0
327,1,X,101359
327,1,Y,0
328,1,X,101202
328,1,Y,0
329,1,X,101440
329,1,Y,0
330,1,X,101514
330,1,Y,0
331,1,X,101338
331,1,Y,0
332,1,X,101082
332,1,Y,0
333,1,X,101187
333,1,Y,0
334,1,X,100942
334,1,Y,0
335,1,X,100782
335,1,Y,0
336,1,X,100704
336,1,Y,0
337,1,X,100627
337,1,Y,0
338,1,X,100452
338,1,Y,0
339,1,X,100339
339,1,Y,0
340,1,X,100331
340,1,Y,0
341,1,X,100541
341,1,Y,0
342,1,X,100824
342,1,Y,0
343,1,X,101056
343,1,Y,0
344,1,X,101166
344,1,Y,0
345,1,X,101088
345,1,Y,0
346,1,X,101172
346,1,Y,0
347,1,X,101182
347,1,Y,0
348,1,X,101047
348,1,Y,0
349,1,X,101175
349,1,Y,0
350,1,X,100996
350,1,Y,0
351,1,X,101192
351,1,Y,0
352,1,X,101276
352,1,Y,0
353,1,X,101118
353,1,Y,0
354,1,X,101464
354,1,Y,0
355,1,X,101751
355,1,Y,0
356,1,X,101515
356,1,Y,0
357,1,X,101516
357,1,Y,0
358,1,X,101480
358,1,Y,0
359,1,X,101373
359,1,Y,0
360,1,X,101132
360,1,Y,0
361,1,X,101231
361,1,Y,0
362,1,X,101359
362,1,Y,0
363,1,X,101168
363,1,Y,0
364,1,X,101158
364,1,Y,0
365,1,X,101142
365,1,Y,0
366,1,X,101039
366,1,Y,0
367,1,X,101117
367,1,Y,0
368,1,X,101208
368,1,Y,0
369,1,X,101498
369,1,Y,0
370,1,X,101590
370,1,Y,0
371,1,X,101543
371,1,Y,0
372,1,X,101500
372,1,Y,0
373,1,X,101416
373,1,Y,0
374,1,X,101577
374,1,Y,0
375,1,X,101347
375,1,Y,0
376,1,X,101314
376,1,Y,0
377,1,X,101318
377,1,Y,0
378,1,X,101198
378,1,Y,0
379,1,X,101240
379,1,Y,0
380,1,X,101392
380,1,Y,0
381,1,X,101389
381,1,Y,0
382,1,X,101283
382,1,Y,0
383,1,X,101141
383,1,Y,0
384,1,X,101001
384,1,Y,0
385,1,X,101096
385,1,Y,0
386,1,X,101063
386,1,Y,0
387,1,X,100977
387,1,Y,0
388,1,X,101004
388,1,Y,0
389,1,X,101303
389,1,Y,0
390,1,X,101266
390,1,Y,0
391,1,X,101307
391,1,Y,0
392,1,X,101318
392,1,Y,0
393,1,X,101592
393,1,Y,0
394,1,X,101505
394,1,Y,0
395,1,X,101175
395,1,Y,0
396,1,X,100745
396,1,Y,0
397,1,X,100852
397,1,Y,0
398,1,X,100837
398,1,Y,0
399,1,X,100817
399,1,Y,0
400,1,X,100720
400,1,Y,0
401,1,X,100844
401,1,Y,0
402,1,X,100802
402,1,Y,0
403,1,X,101002
403,1,Y,0
404,1,X,101174
404,1,Y,0
405,1,X,101258
405,1,Y,0
406,1,X,101174
406,1,Y,0
407,1,X,101312
407,1,Y,0
408,1,X,101336
408,1,Y,0
409,1,X,101290
409,1,Y,0
410,1,X,101218
410,1,Y,0
411,1,X,100916
411,1,Y,0
412,1,X,100972
412,1,Y,0
413,1,X,100834
413,1,Y,0
414,1,X,100774
414,1,Y,0
415,1,X,100727
415,1,Y,0
416,1,X,100618
416,1,Y,0
417,1,X,100927
417,1,Y,0
418,1,X,101192
418,1,Y,0
419,1,X,101268
419,1,Y,0
420,1,X,101231
420,1,Y,0
421,1,X,101592
421,1,Y,0
422,1,X,101687
422,1,Y,0
423,1,X,101782
423,1,Y,0
424,1,X,101551
424,1,Y,0
425,1,X,101617
425,1,Y,0
426,1,X,101490
426,1,Y,0
427,1,X,101360
427,1,Y,0
428,1,X,101065
428,1,Y,0
429,1,X,100985
429,1,Y,0
430,1,X,100806
430,1,Y,0
431,1,X,100944
431,1,Y,0
432,1,X,101001
432,1,Y,0
433,1,X,100977
433,1,Y,0
434,1,X,101209
434,1,Y,0
435,1,X,101303
435,1,Y,0
436,1,X,101113
436,1,Y,0
437,1,X,101004
437,1,Y,0
438,1,X,100949
438,1,Y,0
439,1,X,100966
439,1,Y,0
440,1,X,100991
440,1,Y,0
441,1,X,100913
441,1,Y,0
442,1,X,101064
442,1,Y,0
443,1,X,101093
443,1,Y,0
444,1,X,101176
444,1,Y,0
445,1,X,101363
445,1,Y,0
446,1,X,101220
446,1,Y,0
447,1,X,101275
447,1,Y,0
448,1,X,101308
448,1,Y,0
449,1,X,101388
449,1,Y,0
450,1,X,101309
450,1,Y,0
451,1,X,101381
451,1,Y,0
452,1,X,101410
452,1,Y,0
453,1,X,101289
453,1,Y,0
454,1,X,101691
454,1,Y,0
455,1,X,101595
455,1,Y,0
456,1,X,101491
456,1,Y,0
457,1,X,101736
457,1,Y,0
458,1,X,101571
458,1,Y,0
459,1,X,101557
459,1,Y,0
460,1,X,101454
460,1,Y,0
461,1,X,101366
461,1,Y,0
462,1,X,101488
462,1,Y,0
463,1,X,101422
463,1,Y,0
464,1,X,101306
464,1,Y,0
465,1,X,101210
465,1,Y,0
466,1,X,101315
466,1,Y,0
467,1,X,101127
467,1,Y,0
468,1,X,101012
468,1,Y,0
469,1,X,101039
469,1,Y,0
470,1,X,101048
470,1,Y,0
471,1,X,101247
471,1,Y,0
472,1,X,101413
472,1,Y,0
473,1,X,101260
473,1,Y,0
474,1,X,101511
474,1,Y,0
475,1,X,101419
475,1,Y,0
476,1,X,101423
476,1,Y,0
477,1,X,101371
477,1,Y,0
478,1,X,101452
478,1,Y,0
479,1,X,101539
479,1,Y,0
480,1,X,101570
480,1,Y,0
481,1,X,101364
481,1,Y,0
482,1,X,101124
482,1,Y,0
483,1,X,101288
483,1,Y,0
484,1,X,101168
484,1,Y,0
485,1,X,101196
485,1,Y,0
486,1,X,101231
486,1,Y,0
487,1,X,101350
487,1,Y,0
488,1,X,101414
488,1,Y,0
489,1,X,101235
489,1,Y,0
490,1,X,101215
490,1,Y,0
491,1,X,100964
491,1,Y,0
492,1,X,100801
492,1,Y,0
493,1,X,100946
493,1,Y,0
494,1,X,100943
494,1,Y,0
495,1,X,100789
495,1,Y,0
496,1,X,100769
496,1,Y,0
497,1,X,100828
497,1,Y,0
498,1,X,100956
498,1,Y,0
499,1,X,101116
499,1,Y,0
500,1,X,101268
500,1,Y,0
501,1,X,101334
501,1,Y,0
502,1,X,101381
502,1,Y,0
503,1,X,101129
503,1,Y,0
504,1,X,101029
504,1,Y,0
505,1,X,101099
505,1,Y,0
506,1,X,101131
506,1,Y,0
507,1,X,101036
507,1,Y,0
508,1,X,100927
508,1,Y,0
509,1,X,100843
509,1,Y,0
510,1,X,100824
510,1,Y,0
511,1,X,101070
511,1,Y,0
512,1,X,101019
512,1,Y,0
513,1,X,100861
513,1,Y,0
514,1,X,101211
514,1,Y,0
515,1,X,101006
515,1,Y,0
516,1,X,100840
516,1,Y,0
517,1,X,100723
517,1,Y,0
518,1,X,101047
518,1,Y,0
519,1,X,101206
519,1,Y,0
520,1,X,101275
520,1,Y,0
521,1,X,101381
521,1,Y,0
522,1,X,101371
522,1,Y,0
523,1,X,101180
523,1,Y,0
524,1,X,101073
524,1,Y,0
525,1,X,101034
525,1,Y,0
526,1,X,100843
