Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,AvailableHabitat,EggCrowdingCorrection
28,340461476,funestus,1000,2207,0,51,2156,2916,4746,67094,80600,40300,715,0,0,0,396,0,191,61,0,2207,0,0,0,9779.71,0.126089
28,340461476,gambiae,1000,30777,0,606,30171,36106,55069,642017,1045800,522900,9656,0,0,0,5098,0,2715,945,0,30777,0,0,0,82180.6,0.0859699
29,340461476,arabiensis,1000,28814,0,787,28027,34122,49656,582347,1409760,704880,5478,0,5305,0,4838,0,2696,573,508,28814,0,0,0,74688.6,0.0802575
29,340461476,funestus,1000,2349,0,67,2282,3071,4937,69115,100640,50320,826,0,0,0,426,0,202,82,0,2349,0,0,0,9943.25,0.121336
29,340461476,gambiae,1000,31809,0,807,31002,37822,55326,647504,1555720,777860,11830,0,0,0,5208,0,2981,1195,0,31809,0,0,0,82535.6,0.0785816
30,340461476,arabiensis,1000,29886,0,930,28956,35643,55538,581531,1151920,575960,4834,0,4809,0,4730,0,2707,472,479,29886,0,0,0,80049.3,0.0529796
30,340461476,funestus,1000,2457,0,75,2382,3216,5479,70698,90200,45100,806,0,0,0,451,0,255,88,0,2457,0,0,0,10522.9,0.0988002
30,340461476,gambiae,1000,32982,0,970,32012,39368,59669,647753,1263920,631960,10512,0,0,0,5240,0,2987,1080,0,32982,0,0,0,87336.2,0.053053
31,340461476,arabiensis,1000,30799,0,1041,29758,37064,58630,588559,1198480,599240,4927,0,4887,0,4770,0,2868,511,478,30799,0,0,0,122401,0.0694921
31,340461476,funestus,1000,2642,0,89,2553,3375,5648,72843,101080,50540,875,0,0,0,477,0,208,84,0,2642,0,0,0,13008.9,0.116662
31,340461476,gambiae,1000,34066,0,1107,32959,41128,59843,657168,1363320,681660,11035,0,0,0,5362,0,3163,1115,0,34066,0,0,0,132787,0.0690995
32,340461476,arabiensis,1000,31752,0,1151,30601,38232,59192,639203,1499600,749800,5642,0,5620,0,4974,0,2905,561,555,31752,0,0,0,117418,0.10213
32,340461476,funestus,1000,2767,0,99,2668,3556,5952,77184,114640,57320,967,0,0,0,471,0,244,102,0,2767,0,0,0,13252.6,0.128699
32,340461476,gambiae,1000,34945,0,1217,33728,42662,60705,709779,1654560,827280,12536,0,0,0,5339,0,3195,1265,0,34945,0,0,0,130911,0.0973998
33,340461476,arabiensis,1000,32628,0,1282,31346,39371,57544,682074,1348040,674020,5393,0,5339,0,4878,0,2988,518,496,32628,0,0,0,116404,0.0782997
33,340461476,funestus,1000,2876,0,107,2769,3668,6312,81258,113320,56660,939,0,0,0,496,0,279,108,0,2876,0,0,0,13717.5,0.115602
33,340461476,gambiae,1000,35738,0,1316,34422,43898,57377,760034,1467800,733900,11661,0,0,0,5335,0,3345,1197,0,35738,0,0,0,127164,0.0791215
34,340461476,arabiensis,1000,35193,0,1369,33824,42336,50032,722350,1400360,700180,5421,0,5483,0,6716,0,3043,541,567,35193,0,0,0,116276,0.0863507
