Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
32,340461476,X-a2:X-a2,1549,0,0,1549,1508,19440,25800,0,0,0,0,0
33,340461476,X-a1:X-a1,1519,0,0,1519,1549,19108,35575,0,0,0,0,0
33,340461476,X-a1:X-a2,1593,0,0,1593,1603,19305,32725,0,0,0,0,0
33,340461476,X-a2:X-a1,1587,0,0,1587,1476,18894,39375,0,0,0,0,0
33,340461476,X-a2:X-a2,1665,0,0,1665,1500,19615,37325,0,0,0,0,0
34,340461476,X-a1:X-a1,1602,0,0,1602,1579,19319,33750,0,0,0,0,0
34,340461476,X-a1:X-a2,1706,0,0,1706,1631,19229,32950,0,0,0,0,0
34,340461476,X-a2:X-a1,1588,0,0,1588,1623,19344,34050,0,0,0,0,0
34,340461476,X-a2:X-a2,1656,0,0,1656,1625,19804,36350,0,0,0,0,0
35,340461476,X-a1:X-a1,1643,0,0,1643,1570,19564,35175,0,0,0,0,0
35,340461476,X-a1:X-a2,1733,0,0,1733,1731,19316,35675,0,0,0,0,0
35,340461476,X-a2:X-a1,1708,0,0,1708,1632,19476,31675,0,0,0,0,0
35,340461476,X-a2:X-a2,1723,0,0,1723,1755,19918,32875,0,0,0,0,0
36,340461476,X-a1:X-a1,1816,0,0,1816,1584,19782,39400,0,0,0,0,0
36,340461476,X-a1:X-a2,1858,0,0,1858,1696,19695,37250,0,0,0,0,0
36,340461476,X-a2:X-a1,1824,0,0,1824,1614,19622,42700,0,0,0,0,0
36,340461476,X-a2:X-a2,1853,0,0,1853,1679,20046,42450,0,0,0,0,0
37,340461476,X-a1:X-a1,1875,0,0,1875,1656,19854,38125,0,0,0,0,0
37,340461476,X-a1:X-a2,1930,0,0,1930,1650,19696,37575,0,0,0,0,0
37,340461476,X-a2:X-a1,1849,0,0,1849,1712,19867,37725,0,0,0,0,0
37,340461476,X-a2:X-a2,1883,0,0,1883,1743,20341,40675,0,0,0,0,0
38,340461476,X-a1:X-a1,1930,0,0,1930,1622,20171,40475,0,0,0,0,0
38,340461476,X-a1:X-a2,2014,0,0,2014,1679,19778,39075,0,0,0,0,0
38,340461476,X-a2:X-a1,1979,0,0,1979,1717,20115,36125,0,0,0,0,0
38,340461476,X-a2:X-a2,2003,0,0,2003,1773,20579,37325,0,0,0,0,0
39,340461476,X-a1:X-a1,1989,0,0,1989,1714,20387,41900,0,0,0,0,0
39,340461476,X-a1:X-a2,2068,0,0,2068,1698,20035,41950,0,0,0,0,0
39,340461476,X-a2:X-a1,2023,0,0,2023,1700,20143,44900,0,0,0,0,0
39,340461476,X-a2:X-a2,2103,0,0,2103,1758,20644,43950,0,0,0,0,0
40,340461476,X-a1:X-a1,2063,0,0,2063,1717,20385,44925,0,0,0,0,0
40,340461476,X-a1:X-a2,2105,0,0,2105,1728,20241,49275,0,0,0,0,0
40,340461476,X-a2:X-a1,2065,0,0,2065,1691,20452,45625,0,0,0,0,0
40,340461476,X-a2:X-a2,2158,0,0,2158,1816,20780,51175,0,0,0,0,0
41,340461476,X-a1:X-a1,2141,0,0,2141,1703,20451,45150,0,0,0,0,0
41,340461476,X-a1:X-a2,2105,0,0,2105,1811,20492,45400,0,0,0,0,0
41,340461476,X-a2:X-a1,2158,0,0,2158,1633,20536,41250,0,0,0,0,0
41,340461476,X-a2:X-a2,2226,0,0,2226,1905,21059,41900,0,0,0,0,0
42,340461476,X-a1:X-a1,2122,0,0,2122,1804,20708,46650,0,0,0,0,0
42,340461476,X-a1:X-a2,2169,0,0,2169,1853,20707,46700,0,0,0,0,0
42,340461476,X-a2:X-a1,2169,0,0,2169,1656,20523,49700,0,0,0,0,0
42,340461476,X-a2:X-a2,2341,0,0,2341,1874,20967,49650,0,0,0,0,0
43,340461476,X-a1:X-a1,2228,0,0,2228,1764,20813,47775,0,0,0,0,0
43,340461476,X-a1:X-a2,2253,0,0,2253,1830,20707,51325,0,0,0,0,0
43,340461476,X-a2:X-a1,2185,0,0,2185,1739,20859,50775,0,0,0,0,0
43,340461476,X-a2:X-a2,2342,0,0,2342,1883,21199,56725,0,0,0,0,0
44,340461476,X-a1:X-a1,2311,0,0,2311,1714,20859,48825,0,0,0,0,0
44,340461476,X-a1:X-a2,2287,0,0,2287,1848,20848,52275,0,0,0,0,0
44,340461476,X-a2:X-a1,2244,0,0,2244,1727,21094,46725,0,0,0,0,0
