Time,NodeID,Alleles,VectorPopulation,STATE_MALE
38,1,Aw,38394,50700
38,1,Bd,0,0
38,1,Bm,0,0
38,1,Bw,38394,50700
38,1,Ce,0,0
38,1,Cm,0,0
38,1,Cw,38394,50700
38,1,X,38394,50700
38,1,Y,0,50700
39,1,Ad,0,0
39,1,Am,0,0
39,1,Aw,34691,46373
39,1,Bd,0,0
39,1,Bm,0,0
39,1,Bw,34691,46373
39,1,Ce,0,0
39,1,Cm,0,0
39,1,Cw,34691,46373
39,1,X,34691,46373
39,1,Y,0,46373
40,1,Ad,0,0
40,1,Am,0,0
40,1,Aw,30313,41850
40,1,Bd,0,0
40,1,Bm,0,0
40,1,Bw,30313,41850
40,1,Ce,0,0
40,1,Cm,0,0
40,1,Cw,30313,41850
40,1,X,30313,41850
40,1,Y,0,41850
41,1,Ad,0,0
41,1,Am,0,0
41,1,Aw,26668,37623
41,1,Bd,0,0
41,1,Bm,0,0
41,1,Bw,26668,37623
41,1,Ce,0,0
41,1,Cm,0,0
41,1,Cw,26668,37623
41,1,X,26668,37623
41,1,Y,0,37623
42,1,Ad,0,0
42,1,Am,0,0
42,1,Aw,23434,33733
42,1,Bd,0,0
42,1,Bm,0,0
42,1,Bw,23434,33733
42,1,Ce,0,0
42,1,Cm,0,0
42,1,Cw,23434,33733
42,1,X,23434,33733
42,1,Y,0,33733
43,1,Ad,0,0
43,1,Am,0,0
43,1,Aw,20089,29719
43,1,Bd,0,0
43,1,Bm,0,0
43,1,Bw,20089,29719
43,1,Ce,0,0
43,1,Cm,0,0
43,1,Cw,20089,29719
43,1,X,20089,29719
43,1,Y,0,29719
44,1,Ad,0,0
44,1,Am,0,0
44,1,Aw,17464,26140
44,1,Bd,0,0
44,1,Bm,0,0
44,1,Bw,17464,26140
44,1,Ce,0,0
44,1,Cm,0,0
44,1,Cw,17464,26140
44,1,X,17464,26140
44,1,Y,0,26140
45,1,Ad,0,0
45,1,Am,0,0
45,1,Aw,15018,22923
45,1,Bd,0,0
45,1,Bm,0,0
45,1,Bw,15018,22923
45,1,Ce,0,0
45,1,Cm,0,0
45,1,Cw,15018,22923
45,1,X,15018,22923
45,1,Y,0,22923
46,1,Ad,0,0
46,1,Am,0,0
46,1,Aw,12725,19927
46,1,Bd,0,0
46,1,Bm,0,0
46,1,Bw,12725,19927
46,1,Ce,0,0
46,1,Cm,0,0
46,1,Cw,12725,19927
46,1,X,12725,19927
46,1,Y,0,19927
47,1,Ad,0,0
47,1,Am,0,0
47,1,Aw,10860,17269
47,1,Bd,0,0
47,1,Bm,0,0
47,1,Bw,10860,17269
47,1,Ce,0,0
47,1,Cm,0,0
47,1,Cw,10860,17269
47,1,X,10860,17269
47,1,Y,0,17269
48,1,Ad,0,0
48,1,Am,0,0
48,1,Aw,123309,129394
48,1,Bd,0,0
48,1,Bm,0,0
48,1,Bw,123309,129394
48,1,Ce,0,0
48,1,Cm,0,0
48,1,Cw,123309,129394
48,1,X,123309,129394
48,1,Y,0,129394
49,1,Ad,0,0
49,1,Am,0,0
49,1,Aw,104372,119307
49,1,Bd,0,0
49,1,Bm,0,0
49,1,Bw,104372,119307
49,1,Ce,0,0
49,1,Cm,0,0
49,1,Cw,104372,119307
49,1,X,104372,119307
49,1,Y,0,119307
50,1,Ad,0,0
50,1,Am,0,0
50,1,Aw,106657,120626
50,1,Bd,0,0
50,1,Bm,0,0
50,1,Bw,106657,120626
50,1,Ce,0,0
50,1,Cm,0,0
50,1,Cw,106657,120626
50,1,X,106657,120626
50,1,Y,0,120626
51,1,Ad,0,0
51,1,Am,0,0
51,1,Aw,106969,120471
51,1,Bd,0,0
51,1,Bm,0,0
51,1,Bw,106969,120471
51,1,Ce,0,0
51,1,Cm,0,0
51,1,Cw,106969,120471
51,1,X,106969,120471
51,1,Y,0,120471
52,1,Ad,0,0
52,1,Am,0,0
52,1,Aw,101008,120284
52,1,Bd,0,0
52,1,Bm,0,0
52,1,Bw,101008,120284
52,1,Ce,0,0
52,1,Cm,0,0
52,1,Cw,101008,120284
52,1,X,101008,120284
52,1,Y,0,120284
53,1,Ad,0,0
53,1,Am,0,0
53,1,Aw,101376,119410
53,1,Bd,0,0
53,1,Bm,0,0
53,1,Bw,101376,119410
53,1,Ce,0,0
53,1,Cm,0,0
53,1,Cw,101376,119410
53,1,X,101376,119410
53,1,Y,0,119410
54,1,Ad,0,0
54,1,Am,0,0
54,1,Aw,101112,118759
54,1,Bd,0,0
54,1,Bm,0,0
54,1,Bw,101112,118759
54,1,Ce,0,0
54,1,Cm,0,0
54,1,Cw,101112,118759
54,1,X,101112,118759
54,1,Y,0,118759
55,1,Ad,0,0
55,1,Am,0,0
55,1,Aw,96636,117995
55,1,Bd,0,0
55,1,Bm,0,0
55,1,Bw,96636,117995
55,1,Ce,0,0
55,1,Cm,0,0
55,1,Cw,96636,117995
55,1,X,96636,117995
55,1,Y,0,117995
56,1,Ad,0,0
56,1,Am,0,0
56,1,Aw,96199,116823
56,1,Bd,0,0
56,1,Bm,0,0
56,1,Bw,96199,116823
56,1,Ce,0,0
56,1,Cm,0,0
56,1,Cw,96199,116823
56,1,X,96199,116823
56,1,Y,0,116823
57,1,Ad,0,0
57,1,Am,0,0
57,1,Aw,95373,115882
57,1,Bd,0,0
57,1,Bm,0,0
57,1,Bw,95373,115882
57,1,Ce,0,0
57,1,Cm,0,0
57,1,Cw,95373,115882
57,1,X,95373,115882
57,1,Y,0,115882
58,1,Ad,0,0
58,1,Am,0,0
58,1,Aw,92197,114772
58,1,Bd,0,0
58,1,Bm,0,0
58,1,Bw,92197,114772
58,1,Ce,0,0
58,1,Cm,0,0
58,1,Cw,92197,114772
58,1,X,92197,114772
58,1,Y,0,114772
59,1,Ad,0,0
59,1,Am,0,0
59,1,Aw,91614,113469
59,1,Bd,0,0
59,1,Bm,0,0
59,1,Bw,91614,113469
59,1,Ce,0,0
59,1,Cm,0,0
59,1,Cw,91614,113469
59,1,X,91614,113469
59,1,Y,0,113469
60,1,Ad,0,0
60,1,Am,0,0
60,1,Aw,90743,112298
60,1,Bd,0,0
