Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
42,1,a1.b1,0,0,0
43,1,X,20694,3815,10.7059
43,1,Y,0,0,0
43,1,a0,20694,3815,10.7059
43,1,a1,0,0,0
43,1,b0,20694,3815,10.7059
43,1,b1,0,0,0
43,1,a0.b0,20694,3815,10.7059
43,1,a1.b1,0,0,0
44,1,X,17870,3296,11.5367
44,1,Y,0,0,0
44,1,a0,17870,3296,11.5367
44,1,a1,0,0,0
44,1,b0,17870,3296,11.5367
44,1,b1,0,0,0
44,1,a0.b0,17870,3296,11.5367
44,1,a1.b1,0,0,0
45,1,X,15446,2846,12.0257
45,1,Y,0,0,0
45,1,a0,15446,2846,12.0257
45,1,a1,0,0,0
45,1,b0,15446,2846,12.0257
45,1,b1,0,0,0
45,1,a0.b0,15446,2846,12.0257
45,1,a1.b1,0,0,0
46,1,X,13048,2679,12.5091
46,1,Y,0,0,0
46,1,a0,13048,2679,12.5091
46,1,a1,0,0,0
46,1,b0,13048,2679,12.5091
46,1,b1,0,0,0
46,1,a0.b0,13048,2679,12.5091
46,1,a1.b1,0,0,0
47,1,X,11044,2211,13.2189
47,1,Y,0,0,0
47,1,a0,11044,2211,13.2189
47,1,a1,0,0,0
47,1,b0,11044,2211,13.2189
47,1,b1,0,0,0
47,1,a0.b0,11044,2211,13.2189
47,1,a1.b1,0,0,0
48,1,X,123287,1873,13.9349
48,1,Y,0,0,0
48,1,a0,123287,1873,13.9349
48,1,a1,0,0,0
48,1,b0,123287,1873,13.9349
48,1,b1,0,0,0
48,1,a0.b0,123287,1873,13.9349
48,1,a1.b1,0,0,0
49,1,X,104055,23117,2.00385
49,1,Y,0,0,0
49,1,a0,104055,23117,2.00385
49,1,a1,0,0,0
49,1,b0,104055,23117,2.00385
49,1,b1,0,0,0
49,1,a0.b0,104055,23117,2.00385
49,1,a1.b1,0,0,0
50,1,X,106908,11543,3.51174
50,1,Y,0,0,0
50,1,a0,106908,11543,3.51174
50,1,a1,0,0,0
50,1,b0,106908,11543,3.51174
50,1,b1,0,0,0
50,1,a0.b0,106908,11543,3.51174
50,1,a1.b1,0,0,0
51,1,X,107310,12777,3.75018
51,1,Y,0,0,0
51,1,a0,107310,12777,3.75018
51,1,a1,0,0,0
51,1,b0,107310,12777,3.75018
51,1,b1,0,0,0
51,1,a0.b0,107310,12777,3.75018
51,1,a1.b1,0,0,0
52,1,X,100891,19277,4.15262
52,1,Y,0,0,0
52,1,a0,100891,19277,4.15262
52,1,a1,0,0,0
52,1,b0,100891,19277,4.15262
52,1,b1,0,0,0
52,1,a0.b0,100891,19277,4.15262
52,1,a1.b1,0,0,0
53,1,X,101259,12467,4.58129
53,1,Y,0,0,0
53,1,a0,101259,12467,4.58129
53,1,a1,0,0,0
53,1,b0,101259,12467,4.58129
53,1,b1,0,0,0
53,1,a0.b0,101259,12467,4.58129
53,1,a1.b1,0,0,0
54,1,X,100776,13194,4.81999
54,1,Y,0,0,0
54,1,a0,100776,13194,4.81999
54,1,a1,0,0,0
54,1,b0,100776,13194,4.81999
54,1,b1,0,0,0
54,1,a0.b0,100776,13194,4.81999
54,1,a1.b1,0,0,0
55,1,X,96361,17109,5.60553
55,1,Y,0,0,0
55,1,a0,96361,17109,5.60553
55,1,a1,0,0,0
55,1,b0,96361,17109,5.60553
55,1,b1,0,0,0
55,1,a0.b0,96361,17109,5.60553
55,1,a1.b1,0,0,0
56,1,X,96020,12721,5.43196
56,1,Y,0,0,0
56,1,a0,96020,12721,5.43196
