Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
34,340461476,X-a1:X-a1,0,0,0,0,0,0,2961,94900
34,340461476,X-a1:Y-a1,0,0,0,0,0,0,2962,94900
35,340461476,X-a0:X-a0,44,13,10,21,0,0,6076,0
35,340461476,X-a0:Y-a0,0,0,0,0,385,0,6009,0
35,340461476,X-a0:X-a1,7027,0,1155,5872,0,8550,27222,5280
35,340461476,X-a0:Y-a1,0,0,0,0,8915,8475,27454,5280
35,340461476,X-a1:X-a1,0,0,0,0,0,0,4427,0
35,340461476,X-a1:Y-a1,0,0,0,0,0,0,4362,0
36,340461476,X-a0:X-a0,38,12,10,16,0,0,5483,0
36,340461476,X-a0:Y-a0,0,0,0,0,342,0,5412,0
36,340461476,X-a0:X-a1,9627,64,988,8575,0,4439,29907,0
36,340461476,X-a0:Y-a1,0,0,0,0,11346,4430,30049,0
36,340461476,X-a1:X-a1,0,0,0,0,0,0,3995,0
36,340461476,X-a1:Y-a1,0,0,0,0,0,0,3933,0
37,340461476,X-a0:X-a0,35,11,9,15,0,773,4202,151695
37,340461476,X-a0:Y-a0,0,0,0,0,306,747,4152,151695
37,340461476,X-a0:X-a1,7788,48,1930,5810,0,5237,25889,279980
37,340461476,X-a0:Y-a1,0,0,0,0,10291,5236,25968,279980
37,340461476,X-a1:X-a1,0,0,0,0,0,481,3141,128285
37,340461476,X-a1:Y-a1,0,0,0,0,0,488,3043,128285
38,340461476,X-a0:X-a0,30,8,12,10,0,705,7463,0
38,340461476,X-a0:Y-a0,0,0,0,0,270,670,7375,0
38,340461476,X-a0:X-a1,7049,45,1745,5259,0,7312,27585,2920
38,340461476,X-a0:Y-a1,0,0,0,0,9343,7326,27564,2920
38,340461476,X-a1:X-a1,0,0,0,0,0,434,5777,0
38,340461476,X-a1:Y-a1,0,0,0,0,0,445,5766,0
39,340461476,X-a0:X-a0,29,7,12,10,0,640,6799,0
39,340461476,X-a0:Y-a0,0,0,0,0,250,618,6711,0
39,340461476,X-a0:X-a1,9748,125,1523,8100,0,3314,27865,0
39,340461476,X-a0:Y-a1,0,0,0,0,11733,3340,27852,0
39,340461476,X-a1:X-a1,0,0,0,0,0,401,5233,0
