Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
120,1,9,98.7871,99,0,F,16250,8804,16.7339,19.7232,41,BROKEUP
1190,1,97,98.367,99,0,F,2260,4377,39.182,32.5023,1,BROKEUP
915,1,72,99.1473,100,0,F,519,5691,17.064,21.4267,6,BROKEUP
1062,1,85,99.6457,100,0,F,1554,8756,59.593,39.4991,6,BROKEUP
994,1,79,100.384,101,0,F,1441,12760,21.6692,20.6806,6,BROKEUP
510,1,37,101.95,102,0,F,10683,6980,26.2679,24.0062,26,BROKEUP
1031,1,82,101.504,102,0,F,12581,6079,20.2821,17.2517,7,BROKEUP
387,1,28,102.489,103,0,F,6187,8049,26.8386,18.6971,15,BROKEUP
417,1,30,102.636,103,0,F,16630,5396,16.9637,16.2691,24,BROKEUP
843,1,66,102.069,103,0,F,4185,8892,24.9909,17.5603,9,BROKEUP
399,1,29,103.423,104,0,F,12345,5243,47.2065,30.4791,24,BROKEUP
73,1,6,104.276,105,0,F,5037,9858,23.3632,15.9165,36,BROKEUP
1161,1,94,104.619,105,0,F,8297,3505,22.4794,16.5071,5,BROKEUP
275,1,19,105.414,106,0,F,12730,13030,22.0682,14.8102,19,BROKEUP
654,1,49,106.489,107,0,F,7238,7142,28.0941,22.454,21,BROKEUP
1257,1,102,106.222,107,0,F,6816,11890,30.8323,31.2109,2,BROKEUP
32,1,3,108.144,109,0,F,9773,5909,40.545,37.4709,26,BROKEUP
47,1,4,109.191,110,0,F,11519,12213,28.175,31.1049,30,BROKEUP
315,1,22,110,110,0,F,8787,16871,16.6843,22.4914,21,BROKEUP
1070,1,85,109.409,110,0,F,17232,16711,40.4479,33.8445,8,BROKEUP
1080,1,86,109.679,110,0,F,1616,98,26.9609,17.9679,9,BROKEUP
217,1,16,110.977,111,0,F,13,12650,23.0559,23.4524,23,BROKEUP
1198,1,97,110.717,111,0,F,13620,16156,36.4479,29.9604,3,BROKEUP
589,1,44,111.279,112,0,F,5153,4322,36.2087,26.4321,27,BROKEUP
251,1,17,112.067,113,1,F,10561,2179,46.459,38.8514,37,BROKEUP
426,1,31,112.459,113,0,F,3873,13376,33.6669,31.6455,30,BROKEUP
201,1,15,113.971,114,0,F,2389,2733,25.284,19.7681,45,BROKEUP
10,1,1,114.777,115,0,F,7212,15137,35.1362,23.2455,33,BROKEUP
255,1,18,114.834,115,0,F,1529,9374,24.6114,19.5728,29,BROKEUP
104,1,8,115.853,116,0,F,16585,635,19.2569,18.3963,36,BROKEUP
189,1,14,115.911,116,0,F,4343,7240,26.3327,17.9543,40,BROKEUP
996,1,79,115.169,116,0,F,9698,11820,31.2137,30.347,17,BROKEUP
935,1,74,116.169,117,0,F,13206,3376,30.0031,28.0278,13,BROKEUP
965,1,77,116.641,117,0,F,6220,4346,26.8474,18.9246,10,BROKEUP
11,1,1,117.375,118,0,F,7249,12596,32.0234,21.8229,46,BROKEUP
286,1,20,117.826,118,0,F,2529,2457,29.1959,19.1161,33,BROKEUP
865,1,68,119.364,120,0,F,17110,6741,18.4542,23.3031,12,BROKEUP
272,1,19,120.465,121,0,F,461,13342,28.2703,21.888,43,BROKEUP
462,1,33,120.571,121,1,F,5770,8493,24.638,16.738,27,BROKEUP
733,1,56,120.686,121,0,F,7126,12435,18.7155,15.3126,25,BROKEUP
447,1,32,121.22,122,0,F,16102,7092,29.587,25.6378,45,BROKEUP
483,1,35,121.836,122,0,F,1948,4850,32.7959,24.5058,38,BROKEUP
958,1,76,122.837,123,0,F,10403,6042,24.8554,25.7308,19,BROKEUP
1067,1,85,123.632,124,0,F,10540,10438,22.9988,19.679,15,BROKEUP
621,1,47,124.439,125,0,F,16380,15555,21.6526,19.3968,19,BROKEUP
772,1,59,124.241,125,0,F,11025,11702,19.3484,17.7245,23,BROKEUP
556,1,41,125.812,126,0,F,961,5447,24.1369,20.0034,35,BROKEUP
1148,1,93,125.844,126,0,F,4461,1278,45.8472,37.8425,12,BROKEUP
1338,1,109,125.897,126,0,F,3474,5871,49.0375,54.3097,5,BROKEUP
431,1,31,126.525,127,0,F,16553,8677,24.5671,21.7406,38,BROKEUP
731,1,56,126.736,127,0,F,3419,7173,21.1105,19.6441,35,BROKEUP
291,1,20,127.821,128,0,F,9506,12320,29.3893,17.9369,31,BROKEUP
1087,1,86,129.149,130,0,F,15321,2246,19.2155,16.8473,20,BROKEUP
38,1,3,130.741,131,1,F,8945,5254,62.612,43.8826,58,BROKEUP
319,1,22,130.142,131,1,F,16533,7343,28.4042,19.1429,32,BROKEUP
658,1,49,130.133,131,0,F,15619,12157,20.3876,25.3156,29,BROKEUP
1427,1,117,130.778,131,1,F,908,9159,31.5773,24.0222,3,BROKEUP
966,1,77,131.23,132,0,F,7670,10333,18.7736,14.6072,18,BROKEUP
499,1,36,132.278,133,1,F,5284,13696,20.356,17.0256,22,BROKEUP
945,1,75,132.06,133,0,F,3058,85,27.0537,23.7091,26,BROKEUP
107,1,8,133.876,134,1,F,3928,17322,29.3989,37.0133,30,BROKEUP
1098,1,87,133.341,134,0,F,1328,1509,21.444,22.3179,21,BROKEUP
1407,1,116,133.967,134,0,F,14863,11281,20.6771,18.0514,3,BROKEUP
461,1,33,134.48,135,0,F,17325,15658,22.3255,18.2779,42,BROKEUP
997,1,79,134.281,135,0,F,12540,4686,27.7472,31.5925,16,BROKEUP
783,1,60,135.214,136,0,F,9842,13241,28.1303,26.1269,28,BROKEUP
1064,1,85,136.795,137,0,F,4957,6712,15.6728,15.4052,17,BROKEUP
77,1,6,137.254,138,0,F,10901,3878,27.8063,25.4109,48,BROKEUP
200,1,15,137.955,138,0,F,1768,9664,29.9775,20.7997,36,BROKEUP
856,1,67,137.152,138,0,F,15492,5459,22.8157,24.6239,23,BROKEUP
108,1,8,138.711,139,1,F,4014,12966,48.0547,48.3414,44,BROKEUP
127,1,9,138.581,139,1,F,13188,14044,17.7859,22.4822,51,BROKEUP
361,1,26,139.758,140,0,F,11250,15045,17.4761,19.6471,33,BROKEUP
564,1,42,139.083,140,0,F,7587,12727,17.3534,22.2305,33,BROKEUP
653,1,49,139.852,140,0,F,5138,16720,22.9047,21.78,27,BROKEUP
287,1,20,140.025,141,0,F,4190,2818,25.833,25.8531,43,BROKEUP
766,1,59,140.499,141,0,F,748,416,23.0047,23.214,23,BROKEUP
580,1,43,141.765,142,0,F,14647,2017,46.0346,29.9564,35,BROKEUP
43,1,4,142.477,143,0,F,8660,15937,31.58,16.1777,50,BROKEUP
1068,1,85,143.477,144,0,F,10777,4670,29.4747,24.175,30,BROKEUP
1471,1,121,143.362,144,0,F,15712,10717,49.4753,41.842,9,BROKEUP
1483,1,123,143.344,144,0,F,9488,2369,20.9147,21.2861,6,BROKEUP
913,1,71,144.212,145,1,F,3500,16126,17.9883,16.7423,23,BROKEUP
50,1,4,145.826,146,0,F,15906,10156,20.7487,15.4273,49,BROKEUP
897,1,70,145.098,146,0,F,12751,13964,29.1375,22.9361,28,BROKEUP
1639,1,137,145.762,146,0,F,15321,5655,19.2593,19.9977,1,BROKEUP
258,1,18,146.272,147,0,F,10603,17020,20.6991,17.4228,41,BROKEUP
1387,1,114,146.664,147,0,F,4418,5741,27.4711,22.4387,7,BROKEUP
701,1,53,148.568,149,0,F,15630,17261,52.1205,32.6007,33,BROKEUP
