Time,NodeID,Genome,STATE_MALE
83,1,X-a0:Y-a0,119339
83,1,X-a0:Y-a1,0
83,1,X-a1:Y-a0,0
83,1,X-a1:Y-a1,0
84,1,X-a0:Y-a0,123110
84,1,X-a0:Y-a1,0
84,1,X-a1:Y-a0,0
84,1,X-a1:Y-a1,0
85,1,X-a0:Y-a0,122024
85,1,X-a0:Y-a1,0
85,1,X-a1:Y-a0,0
85,1,X-a1:Y-a1,0
86,1,X-a0:Y-a0,122140
86,1,X-a0:Y-a1,0
86,1,X-a1:Y-a0,0
86,1,X-a1:Y-a1,0
87,1,X-a0:Y-a0,122132
87,1,X-a0:Y-a1,0
87,1,X-a1:Y-a0,0
87,1,X-a1:Y-a1,0
88,1,X-a0:Y-a0,122267
88,1,X-a0:Y-a1,0
88,1,X-a1:Y-a0,0
88,1,X-a1:Y-a1,0
89,1,X-a0:Y-a0,121953
89,1,X-a0:Y-a1,0
89,1,X-a1:Y-a0,0
89,1,X-a1:Y-a1,0
90,1,X-a0:Y-a0,121814
90,1,X-a0:Y-a1,0
90,1,X-a1:Y-a0,0
90,1,X-a1:Y-a1,0
91,1,X-a0:Y-a0,121801
91,1,X-a0:Y-a1,0
91,1,X-a1:Y-a0,0
91,1,X-a1:Y-a1,0
92,1,X-a0:Y-a0,121953
92,1,X-a0:Y-a1,0
92,1,X-a1:Y-a0,0
92,1,X-a1:Y-a1,0
93,1,X-a0:Y-a0,121601
93,1,X-a0:Y-a1,0
93,1,X-a1:Y-a0,0
93,1,X-a1:Y-a1,0
94,1,X-a0:Y-a0,121815
94,1,X-a0:Y-a1,0
94,1,X-a1:Y-a0,0
94,1,X-a1:Y-a1,0
95,1,X-a0:Y-a0,121524
95,1,X-a0:Y-a1,0
95,1,X-a1:Y-a0,0
95,1,X-a1:Y-a1,0
96,1,X-a0:Y-a0,121244
96,1,X-a0:Y-a1,0
96,1,X-a1:Y-a0,0
96,1,X-a1:Y-a1,0
97,1,X-a0:Y-a0,121434
97,1,X-a0:Y-a1,0
97,1,X-a1:Y-a0,0
97,1,X-a1:Y-a1,0
98,1,X-a0:Y-a0,121377
98,1,X-a0:Y-a1,0
98,1,X-a1:Y-a0,0
98,1,X-a1:Y-a1,0
99,1,X-a0:Y-a0,121364
99,1,X-a0:Y-a1,0
99,1,X-a1:Y-a0,0
99,1,X-a1:Y-a1,0
100,1,X-a0:Y-a0,121423
100,1,X-a0:Y-a1,0
100,1,X-a1:Y-a0,0
100,1,X-a1:Y-a1,0
101,1,X-a0:Y-a0,121422
101,1,X-a0:Y-a1,0
101,1,X-a1:Y-a0,0
101,1,X-a1:Y-a1,0
102,1,X-a0:Y-a0,122243
102,1,X-a0:Y-a1,0
102,1,X-a1:Y-a0,0
102,1,X-a1:Y-a1,0
103,1,X-a0:Y-a0,121946
103,1,X-a0:Y-a1,0
103,1,X-a1:Y-a0,0
103,1,X-a1:Y-a1,0
104,1,X-a0:Y-a0,121715
104,1,X-a0:Y-a1,0
104,1,X-a1:Y-a0,0
104,1,X-a1:Y-a1,0
105,1,X-a0:Y-a0,121589
105,1,X-a0:Y-a1,0
105,1,X-a1:Y-a0,0
105,1,X-a1:Y-a1,0
106,1,X-a0:Y-a0,121471
106,1,X-a0:Y-a1,0
106,1,X-a1:Y-a0,0
106,1,X-a1:Y-a1,0
107,1,X-a0:Y-a0,121292
107,1,X-a0:Y-a1,0
107,1,X-a1:Y-a0,0
107,1,X-a1:Y-a1,0
108,1,X-a0:Y-a0,121123
108,1,X-a0:Y-a1,0
108,1,X-a1:Y-a0,0
108,1,X-a1:Y-a1,0
109,1,X-a0:Y-a0,121043
109,1,X-a0:Y-a1,0
109,1,X-a1:Y-a0,0
109,1,X-a1:Y-a1,0
110,1,X-a0:Y-a0,121209
110,1,X-a0:Y-a1,0
