Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1404,1964.35,336,56.1723,F,3,0,N/A,STIPostImmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,3
1404,1964.35,180,44.7169,F,2,0,N/A,STIPostImmigrating,0,83,142,0,0,MARITAL,PAUSED,341,0,2
1405,1964.35,23,54.6119,F,2,4,local,STIPreEmigrating,0,62,162,0,0,MARITAL,PAUSED,232,0,2
1405,1964.35,206,43.1582,M,1,2,local,STIPreEmigrating,0,46,117,0,0,MARITAL,PAUSED,142,1,0
1405,1964.35,206,43.1582,M,2,0,N/A,STIPostImmigrating,0,46,117,0,0,MARITAL,PAUSED,142,2,0
1405,1964.35,23,54.6119,F,4,0,N/A,STIPostImmigrating,0,62,162,0,0,MARITAL,NORMAL,232,4,4
1406,1964.35,17,30.125,M,4,1,local,STIPreEmigrating,0,134,89,0,0,INFORMAL,NORMAL,151,4,4
1406,1964.35,213,51.1153,F,4,1,local,STIPreEmigrating,0,175,11,0,0,MARITAL,NORMAL,328,4,4
1406,1964.35,54,46.7107,M,1,4,local,STIPreEmigrating,0,66,111,0,0,MARITAL,PAUSED,4,1,0
1406,1964.35,54,46.7107,M,4,0,N/A,STIPostImmigrating,0,66,111,0,0,MARITAL,NORMAL,4,4,4
1406,1964.35,213,51.1153,F,1,0,N/A,STIPostImmigrating,0,175,11,0,0,MARITAL,PAUSED,328,0,1
1406,1964.35,17,30.125,M,1,0,N/A,STIPostImmigrating,0,134,89,0,0,INFORMAL,PAUSED,151,1,0
1408,1964.36,189,33.3491,F,1,4,local,STIPreEmigrating,0,125,31,0,0,MARITAL,PAUSED,99,0,1
1408,1964.36,189,33.3491,F,4,0,N/A,STIPostImmigrating,0,125,31,0,0,MARITAL,NORMAL,99,4,4
1409,1964.36,55,44.9041,M,1,2,local,STIPreEmigrating,0,64,79,0,0,MARITAL,PAUSED,45,1,0
1409,1964.36,55,44.9041,M,2,0,N/A,STIPostImmigrating,0,64,79,0,0,MARITAL,PAUSED,45,2,0
1410,1964.36,54,46.7217,M,4,1,local,STIPreEmigrating,0,66,111,0,0,MARITAL,NORMAL,4,4,4
1410,1964.36,3,37.9143,M,2,3,local,STIPreEmigrating,0,124,87,0,0,INFORMAL,PAUSED,32,2,0
1410,1964.36,155,33.1598,F,1,2,local,STIPreEmigrating,0,51,177,0,0,INFORMAL,PAUSED,255,0,1
1410,1964.36,290,52.7056,F,1,2,local,STIPreEmigrating,0,69,125,0,0,MARITAL,PAUSED,327,0,1
1410,1964.36,290,52.7056,F,2,0,N/A,STIPostImmigrating,0,69,125,0,0,MARITAL,NORMAL,327,2,2
1410,1964.36,155,33.1598,F,2,0,N/A,STIPostImmigrating,0,51,177,0,0,INFORMAL,PAUSED,255,0,2
1410,1964.36,3,37.9143,M,3,0,N/A,STIPostImmigrating,0,124,87,0,0,INFORMAL,PAUSED,32,3,0
