Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
149,2,987,1534.47,1535,1,F,204,264,23.2333,21.5758,37,BROKEUP
192,4,1331,1537.42,1538,1,F,161,111,31.7772,23.1815,40,BROKEUP
167,2,1149,1538.04,1539,0,F,133,71,29.9539,31.7125,24,BROKEUP
166,2,1137,1545.84,1546,1,F,311,306,30.8466,22.6294,27,BROKEUP
134,1,843,1546.87,1547,1,F,17,151,30.5086,34.2354,109,BROKEUP
144,2,942,1549.58,1550,1,F,275,210,23.8622,18.2024,53,BROKEUP
185,2,1280,1563.28,1564,1,F,219,31,34.2777,26.6723,37,BROKEUP
186,1,1282,1567.03,1568,1,F,74,5,18.063,17.5178,29,BROKEUP
168,2,1149,1583.29,1584,1,F,58,61,33.2635,30.0757,47,BROKEUP
188,3,1298,1589.23,1590,0,F,273,112,19.8145,19.6869,37,BROKEUP
111,4,547,1600.72,1601,0,F,270,168,33.7751,26.7231,101,BROKEUP
217,1,1568,1615.71,1616,0,F,260,5,18.7811,17.6493,6,BROKEUP
205,2,1490,1622.12,1623,0,F,70,122,41.2828,36.4189,14,BROKEUP
174,1,1207,1628.19,1629,0,F,46,77,21.0933,17.555,65,BROKEUP
191,2,1323,1636.04,1637,1,F,11,261,17.6854,18.0438,36,BROKEUP
98,1,433,1702.38,1703,1,F,138,214,23.6752,19.529,102,BROKEUP
198,3,1403,1704.3,1705,0,F,287,216,18.6185,16.3911,8,BROKEUP
154,1,1030,1730.15,1731,1,F,104,239,35.6123,28.8167,54,BROKEUP
164,1,1116,1734.47,1735,1,F,198,128,40.8757,31.4043,76,BROKEUP
225,2,1706,1742.23,1743,0,F,46,261,21.4057,18.3343,7,BROKEUP
200,3,1421,1747.27,1748,0,F,115,221,20.9274,21.6575,3,BROKEUP
51,3,23,1751.06,1752,1,F,255,155,38.4797,34.0941,232,BROKEUP
140,1,895,1768.79,1769,1,F,29,208,30.6657,24.8216,101,BROKEUP
150,2,1006,1776.02,1777,1,F,175,94,20.6982,17.5693,70,BROKEUP
173,2,1190,1786.44,1787,1,F,114,319,27.1787,19.4691,54,BROKEUP
204,4,1459,1794.74,1795,0,F,34,343,21.3145,20.8394,75,BROKEUP
124,1,713,1817.17,1818,1,F,3,32,39.0294,31.2289,128,BROKEUP
157,3,1061,1828.81,1829,1,F,224,248,21.0079,23.4252,56,BROKEUP
129,4,783,1831.68,1832,1,F,39,89,21.6064,19.8994,103,BROKEUP
209,1,1541,1850.22,1851,1,F,62,274,21.2931,27.9906,3,BROKEUP
216,1,1566,1870.99,1871,1,F,311,50,31.737,26.4508,42,BROKEUP
224,1,1644,1873.09,1874,0,F,219,9,35.127,27.4153,6,BROKEUP
239,2,1855,1890.78,1891,0,F,260,94,19.5346,17.8816,5,BROKEUP
227,3,1746,1896.61,1897,0,F,287,111,19.1445,24.165,28,BROKEUP
226,4,1739,1899.43,1900,0,F,192,214,20.0162,20.0688,45,BROKEUP
141,2,909,1933.08,1934,1,F,24,325,21.3348,21.4353,79,BROKEUP
170,1,1169,1940.96,1941,1,F,169,132,29.8177,32.036,43,BROKEUP
221,2,1624,1941.13,1942,0,F,161,5,32.8841,18.5425,41,BROKEUP
207,1,1511,1969.22,1970,1,F,262,130,22.5044,22.3277,57,BROKEUP
178,3,1251,1974.82,1975,1,F,289,97,28.6411,25.1666,109,BROKEUP
210,2,1543,1979.41,1980,0,F,176,264,30.692,22.795,4,BROKEUP
215,1,1564,1994.19,1995,0,F,17,27,31.736,22.0289,16,BROKEUP
228,2,1755,2021.38,2022,0,F,46,261,22.17,19.0986,15,BROKEUP
238,2,1855,2024.78,2025,0,F,62,248,21.7698,23.9622,26,BROKEUP
251,1,1975,2032.87,2033,0,F,262,160,22.677,16.2864,15,BROKEUP
208,2,1530,2043.74,2044,1,F,272,117,31.7728,30.6349,30,BROKEUP
196,1,1390,2061.83,2062,2,F,310,201,71.8078,77.9032,51,BROKEUP
212,2,1553,2071.75,2072,0,F,275,153,25.2923,18.3683,58,BROKEUP
172,1,1186,2081.11,2082,1,F,238,258,24.5585,18.3772,91,BROKEUP
246,1,1931,2081.15,2082,0,F,38,276,18.0236,14.8379,15,BROKEUP
161,4,1083,2087.57,2088,0,F,195,315,25.8567,24.6641,91,BROKEUP
