Time,NodeID,Alleles,VectorPopulation
141,1,Y,0
142,1,Be,0
142,1,Bw,100918
142,1,X,100918
142,1,Y,0
143,1,Be,0
143,1,Bw,100773
143,1,X,100773
143,1,Y,0
144,1,Be,0
144,1,Bw,100804
144,1,X,100804
144,1,Y,0
145,1,Be,0
145,1,Bw,100638
145,1,X,100638
145,1,Y,0
146,1,Be,0
146,1,Bw,100892
146,1,X,100892
146,1,Y,0
147,1,Be,0
147,1,Bw,100833
147,1,X,100833
147,1,Y,0
148,1,Be,0
148,1,Bw,100832
148,1,X,100832
148,1,Y,0
149,1,Be,0
149,1,Bw,100843
149,1,X,100843
149,1,Y,0
150,1,Be,0
150,1,Bw,100856
150,1,X,100856
150,1,Y,0
151,1,Be,0
151,1,Bw,101030
151,1,X,101030
151,1,Y,0
152,1,Be,0
152,1,Bw,101101
152,1,X,101101
152,1,Y,0
153,1,Be,0
153,1,Bw,101115
153,1,X,101115
153,1,Y,0
154,1,Be,0
154,1,Bw,100984
154,1,X,100984
154,1,Y,0
155,1,Be,0
155,1,Bw,101065
155,1,X,101065
155,1,Y,0
156,1,Be,0
156,1,Bw,100971
156,1,X,100971
156,1,Y,0
157,1,Be,0
157,1,Bw,100991
157,1,X,100991
157,1,Y,0
158,1,Be,0
158,1,Bw,100987
158,1,X,100987
158,1,Y,0
159,1,Be,0
159,1,Bw,100552
159,1,X,100552
159,1,Y,0
160,1,Be,0
160,1,Bw,100793
160,1,X,100793
160,1,Y,0
161,1,Be,0
161,1,Bw,100978
161,1,X,100978
161,1,Y,0
162,1,Be,0
162,1,Bw,100918
162,1,X,100918
162,1,Y,0
163,1,Be,0
163,1,Bw,101139
163,1,X,101139
163,1,Y,0
164,1,Be,0
164,1,Bw,101328
164,1,X,101328
164,1,Y,0
165,1,Be,0
165,1,Bw,101186
165,1,X,101186
165,1,Y,0
166,1,Be,0
166,1,Bw,100863
166,1,X,100863
166,1,Y,0
167,1,Be,0
167,1,Bw,101062
167,1,X,101062
167,1,Y,0
168,1,Be,0
168,1,Bw,100981
168,1,X,100981
168,1,Y,0
169,1,Be,0
169,1,Bw,101042
169,1,X,101042
169,1,Y,0
170,1,Be,0
170,1,Bw,101245
170,1,X,101245
170,1,Y,0
171,1,Be,0
171,1,Bw,101197
171,1,X,101197
171,1,Y,0
172,1,Be,0
172,1,Bw,101014
172,1,X,101014
172,1,Y,0
173,1,Be,0
173,1,Bw,101182
173,1,X,101182
173,1,Y,0
174,1,Be,0
174,1,Bw,101245
174,1,X,101245
174,1,Y,0
175,1,Be,0
175,1,Bw,100987
175,1,X,100987
175,1,Y,0
176,1,Be,0
176,1,Bw,101165
176,1,X,101165
176,1,Y,0
177,1,Be,0
177,1,Bw,101140
177,1,X,101140
177,1,Y,0
178,1,Be,0
178,1,Bw,100955
178,1,X,100955
178,1,Y,0
179,1,Be,0
179,1,Bw,100761
179,1,X,100761
179,1,Y,0
180,1,Be,0
180,1,Bw,100865
180,1,X,100865
180,1,Y,0
181,1,Be,0
181,1,Bw,100846
181,1,X,100846
181,1,Y,0
182,1,Be,0
182,1,Bw,100814
182,1,X,100814
182,1,Y,0
183,1,Be,0
183,1,Bw,101018
183,1,X,101018
183,1,Y,0
184,1,Be,0
184,1,Bw,101126
184,1,X,101126
184,1,Y,0
185,1,Be,0
185,1,Bw,100994
185,1,X,100994
185,1,Y,0
186,1,Be,0
186,1,Bw,100737
186,1,X,100737
186,1,Y,0
187,1,Be,0
187,1,Bw,100787
187,1,X,100787
187,1,Y,0
188,1,Be,0
188,1,Bw,100777
188,1,X,100777
188,1,Y,0
189,1,Be,0
189,1,Bw,100595
189,1,X,100595
189,1,Y,0
190,1,Be,0
190,1,Bw,100471
190,1,X,100471
190,1,Y,0
191,1,Be,0
191,1,Bw,100674
191,1,X,100674
191,1,Y,0
192,1,Be,0
192,1,Bw,100676
192,1,X,100676
192,1,Y,0
193,1,Be,0
193,1,Bw,100727
193,1,X,100727
193,1,Y,0
194,1,Be,0
194,1,Bw,100645
194,1,X,100645
194,1,Y,0
195,1,Be,0
195,1,Bw,100612
195,1,X,100612
195,1,Y,0
196,1,Be,0
196,1,Bw,100727
196,1,X,100727
196,1,Y,0
197,1,Be,0
197,1,Bw,100685
197,1,X,100685
197,1,Y,0
198,1,Be,0
198,1,Bw,100697
198,1,X,100697
198,1,Y,0
199,1,Be,0
199,1,Bw,100551
199,1,X,100551
199,1,Y,0
200,1,Be,0
200,1,Bw,100884
200,1,X,100884
200,1,Y,0
201,1,Be,0
201,1,Bw,100990
201,1,X,100990
201,1,Y,0
202,1,Be,0
202,1,Bw,100992
202,1,X,100992
202,1,Y,0
203,1,Be,0
203,1,Bw,101000
203,1,X,101000
203,1,Y,0
204,1,Be,0
204,1,Bw,100943
204,1,X,100943
204,1,Y,0
205,1,Be,0
205,1,Bw,100870
205,1,X,100870
205,1,Y,0
206,1,Be,0
206,1,Bw,100812
206,1,X,100812
206,1,Y,0
207,1,Be,0
207,1,Bw,100865
207,1,X,100865
207,1,Y,0
208,1,Be,0
208,1,Bw,100608
208,1,X,100608
208,1,Y,0
209,1,Be,0
209,1,Bw,100428
209,1,X,100428
209,1,Y,0
210,1,Be,0
210,1,Bw,100266
210,1,X,100266
210,1,Y,0
211,1,Be,0
211,1,Bw,100277
211,1,X,100277
211,1,Y,0
212,1,Be,0
212,1,Bw,100215
212,1,X,100215
212,1,Y,0
213,1,Be,0
213,1,Bw,100211
213,1,X,100211
213,1,Y,0
214,1,Be,0
214,1,Bw,100291
214,1,X,100291
214,1,Y,0
215,1,Be,0
215,1,Bw,100458
215,1,X,100458
215,1,Y,0
216,1,Be,0
216,1,Bw,100644
216,1,X,100644
216,1,Y,0
217,1,Be,0
217,1,Bw,100591
217,1,X,100591
217,1,Y,0
218,1,Be,0
218,1,Bw,100394
218,1,X,100394
218,1,Y,0
219,1,Be,0
219,1,Bw,100550
219,1,X,100550
219,1,Y,0
220,1,Be,0
220,1,Bw,100828
220,1,X,100828
220,1,Y,0
221,1,Be,0
221,1,Bw,100849
221,1,X,100849
221,1,Y,0
222,1,Be,0
222,1,Bw,100918
222,1,X,100918
222,1,Y,0
223,1,Be,0
223,1,Bw,100755
223,1,X,100755
223,1,Y,0
224,1,Be,0
224,1,Bw,100781
224,1,X,100781
224,1,Y,0
225,1,Be,0
225,1,Bw,100480
225,1,X,100480
225,1,Y,0
226,1,Be,0
226,1,Bw,100377
226,1,X,100377
226,1,Y,0
227,1,Be,0
227,1,Bw,100577
227,1,X,100577
227,1,Y,0
228,1,Be,0
228,1,Bw,100706
228,1,X,100706
228,1,Y,0
229,1,Be,0
229,1,Bw,100923
229,1,X,100923
229,1,Y,0
230,1,Be,0
230,1,Bw,101026
230,1,X,101026
230,1,Y,0
231,1,Be,0
231,1,Bw,100936
231,1,X,100936
231,1,Y,0
232,1,Be,0
232,1,Bw,100931
232,1,X,100931
232,1,Y,0
233,1,Be,0
233,1,Bw,100977
233,1,X,100977
233,1,Y,0
234,1,Be,0
234,1,Bw,100999
234,1,X,100999
234,1,Y,0
235,1,Be,0
235,1,Bw,100987
235,1,X,100987
235,1,Y,0
236,1,Be,0
236,1,Bw,100906
236,1,X,100906
236,1,Y,0
237,1,Be,0
237,1,Bw,101044
237,1,X,101044
237,1,Y,0
238,1,Be,0
238,1,Bw,101195
238,1,X,101195
238,1,Y,0
239,1,Be,0
239,1,Bw,101321
239,1,X,101321
239,1,Y,0
240,1,Be,0
240,1,Bw,101461
240,1,X,101461
240,1,Y,0
241,1,Be,0
241,1,Bw,101114
241,1,X,101114
241,1,Y,0
242,1,Be,0
242,1,Bw,100833
242,1,X,100833
242,1,Y,0
243,1,Be,0
243,1,Bw,101114
243,1,X,101114
243,1,Y,0
244,1,Be,0
244,1,Bw,100751
244,1,X,100751
244,1,Y,0
245,1,Be,0
245,1,Bw,100743
245,1,X,100743
245,1,Y,0
246,1,Be,0
246,1,Bw,100753
246,1,X,100753
246,1,Y,0
247,1,Be,0
247,1,Bw,100568
247,1,X,100568
247,1,Y,0
248,1,Be,0
248,1,Bw,100753
248,1,X,100753
248,1,Y,0
249,1,Be,0
249,1,Bw,100848
249,1,X,100848
249,1,Y,0
250,1,Be,0
250,1,Bw,100744
250,1,X,100744
250,1,Y,0
251,1,Be,0
251,1,Bw,100803
251,1,X,100803
251,1,Y,0
252,1,Be,0
252,1,Bw,101002
252,1,X,101002
252,1,Y,0
253,1,Be,0
