
time,Node_ID,Before/After,RelationshipType,# of Males,# of Females,Male_Bin_Index_1,Male_Bin_Index_2,Male_Bin_Index_3,Male_Bin_Index_4,Male_Bin_Index_5,Male_Bin_Index_6,Male_Bin_Index_7,Male_Bin_Index_8,Male_Bin_Index_9,Male_Bin_Index_10,Male_Bin_Index_11,Male_Bin_Index_12,Male_Bin_Index_13,Male_Bin_Index_14,Male_Bin_Index_15,Male_Bin_Index_16,Male_Bin_Index_17,Male_Bin_Index_18,Male_Bin_Index_19,Male_Bin_Index_20,Female_Bin_Index_1,Female_Bin_Index_2,Female_Bin_Index_3,Female_Bin_Index_4,Female_Bin_Index_5,Female_Bin_Index_6,Female_Bin_Index_7,Female_Bin_Index_8,Female_Bin_Index_9,Female_Bin_Index_10,Female_Bin_Index_11,Female_Bin_Index_12,Female_Bin_Index_13,Female_Bin_Index_14,Female_Bin_Index_15,Female_Bin_Index_16,Female_Bin_Index_17,Female_Bin_Index_18,Female_Bin_Index_19,Female_Bin_Index_20
9,1,BEFORE,TRANSITORY,8,23,3,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,3,4,2,0,2,0,0,0,0,0,0,0,3,0,1,0
9,1,AFTER,TRANSITORY,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,2,0,1,0,0,0,0,0,0,0,3,0,1,0
9,1,BEFORE,INFORMAL,10,17,2,0,0,0,0,1,0,2,2,0,0,1,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,2,2,0,2,2,0,2,1,0,0,0,0
9,1,AFTER,INFORMAL,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0
9,1,BEFORE,MARITAL,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
9,1,AFTER,MARITAL,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,1,BEFORE,COMMERCIAL,0,0,0,0,0,0
9,1,AFTER,COMMERCIAL,0,0,0,0,0,0
10,1,BEFORE,TRANSITORY,6,17,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2,0,1,0,0,0,0,0,0,0,3,0,1,0
10,1,AFTER,TRANSITORY,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,3,0,1,0
