Time,NodeID,Alleles,VectorPopulation,STATE_MALE,VectorPopulationNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,MaleAvgAgeAtDeath
11,1,X2,1366,671,211,115,13.91,13.913
11,1,Y1,0,1225,0,212,0,13.9953
11,1,Y2,0,839,0,124,0,13.9839
12,1,X1,2446,1161,404,232,14.896,15.0388
12,1,X2,1172,567,194,104,15.0103,15.0096
12,1,Y1,0,1030,0,195,0,15.0103
12,1,Y2,0,698,0,141,0,15.0567
13,1,X1,2053,983,393,178,16.0534,15.9775
13,1,X2,999,459,173,108,15.9711,16
13,1,Y1,0,859,0,171,0,16.0058
13,1,Y2,0,583,0,115,0,15.9565
14,1,X1,1723,813,330,170,16.9667,17.0471
14,1,X2,817,377,182,82,16.9725,16.9634
14,1,Y1,0,703,0,156,0,17.0064
14,1,Y2,0,487,0,96,0,17.0417
15,1,X1,1412,661,311,152,17.9871,17.9474
15,1,X2,702,308,115,69,17.9304,17.8551
15,1,Y1,0,569,0,134,0,17.8731
15,1,Y2,0,400,0,87,0,17.9885
16,1,X1,1165,526,247,135,19.0729,18.9704
16,1,X2,583,255,119,53,19.1008,18.8113
16,1,Y1,0,468,0,101,0,18.9703
16,1,Y2,0,313,0,87,0,18.8736
17,1,X1,972,442,193,84,19.9067,19.8333
17,1,X2,506,208,77,47,19.8961,19.9574
17,1,Y1,0,402,0,66,0,19.9848
17,1,Y2,0,248,0,65,0,19.7692
18,1,X1,792,362,180,80,20.9722,20.9625
18,1,X2,406,173,100,35,21.01,21.1429
18,1,Y1,0,327,0,75,0,21
18,1,Y2,0,208,0,40,0,21.05
19,1,X1,631,284,161,78,22.0186,21.7821
19,1,X2,343,138,63,35,21.7937,21.9714
19,1,Y1,0,252,0,75,0,21.7733
19,1,Y2,0,170,0,38,0,21.9737
20,1,X1,494,230,137,54,22.9927,22.9259
20,1,X2,282,113,61,25,22.9836,22.64
20,1,Y1,0,206,0,46,0,22.587
20,1,Y2,0,137,0,33,0,23.1818
21,1,X1,393,179,101,51,23.8911,24.0784
21,1,X2,227,90,55,23,23.8727,24
21,1,Y1,0,166,0,40,0,24.125
21,1,Y2,0,103,0,34,0,23.9706
22,1,X1,47934,24194,65,48,24.8615,24.8333
22,1,X2,23754,12051,35,15,24.6857,25.2
22,1,Y1,0,22071,0,41,0,25.0244
22,1,Y2,0,14174,0,22,0,24.7273
23,1,X1,86641,43536,4877,2390,1.35842,1.24059
23,1,X2,43223,21969,2537,1191,1.37288,1.24769
23,1,Y1,0,39295,0,2170,0,1.24194
23,1,Y2,0,26210,0,1411,0,1.24451
24,1,X1,117480,58903,8895,4402,1.65216,1.62517
24,1,X2,58388,29342,4449,2285,1.71994,1.62407
24,1,Y1,0,52953,0,4024,0,1.66203
24,1,Y2,0,35292,0,2663,0,1.56853
25,1,X1,139283,69503,11889,6332,2.05375,2.07217
25,1,X2,68447,34571,5951,2965,2.11712,2.07555
25,1,Y1,0,62587,0,5510,0,2.08857
25,1,Y2,0,41487,0,3787,0,2.05096
26,1,X1,155372,77775,14510,7159,2.61234,2.5822
26,1,X2,76552,38626,7152,3666,2.61339,2.55947
26,1,Y1,0,69641,0,6497,0,2.59735
26,1,Y2,0,46760,0,4328,0,2.5402
27,1,X1,167492,83529,16482,8271,3.08118,3.07726
27,1,X2,82022,41506,8132,4029,3.11461,3.10002
27,1,Y1,0,75025,0,7292,0,3.09339
27,1,Y2,0,50010,0,5008,0,3.07208
28,1,X1,172347,85994,18051,8972,3.59914,3.56743
28,1,X2,84247,42649,8673,4328,3.65986,3.64857
28,1,Y1,0,77439,0,7947,0,3.58123
28,1,Y2,0,51204,0,5353,0,3.61255
29,1,X1,175084,87635,18518,9037,4.12858,4.15359
29,1,X2,85738,43256,9090,4713,4.14422,4.15086
29,1,Y1,0,78768,0,8236,0,4.13757
29,1,Y2,0,52123,0,5514,0,4.17519
30,1,X1,175128,87494,18929,9415,4.63316,4.62985
30,1,X2,85686,43307,9295,4667,4.67595,4.67195
30,1,Y1,0,78948,0,8403,0,4.65215
30,1,Y2,0,51853,0,5679,0,4.63145
31,1,X1,170889,85458,19193,9556,5.15568,5.16702
31,1,X2,83159,42161,9401,4719,5.16147,5.20937
31,1,Y1,0,77044,0,8662,0,5.19938
31,1,Y2,0,50575,0,5613,0,5.15268
32,1,X1,165575,82949,19011,9430,5.76324,5.82312
32,1,X2,80949,40810,9355,4808,5.80684,5.82945
32,1,Y1,0,74634,0,8513,0,5.77775
32,1,Y2,0,49125,0,5725,0,5.8959
33,1,X1,158335,79508,18966,9441,6.31103,6.3041
33,1,X2,77295,38994,9122,4654,6.39301,6.39622
33,1,Y1,0,71507,0,8485,0,6.3208
33,1,Y2,0,46995,0,5610,0,6.35526
34,1,X1,149034,75195,18243,9207,6.90051,6.99337
34,1,X2,72736,36664,8941,4387,6.90929,6.97926
34,1,Y1,0,67322,0,8243,0,6.96409
34,1,Y2,0,44537,0,5351,0,7.02691
35,1,X1,139918,70888,17797,8800,7.61685,7.5375
35,1,X2,68906,34534,8491,4388,7.57119,7.59731
35,1,Y1,0,63372,0,7986,0,7.56649
35,1,Y2,0,42050,0,5202,0,7.54344
36,1,X1,130478,65927,16722,8514,8.19154,8.08879
36,1,X2,64138,32201,8276,4078,8.13304,8.15964
36,1,Y1,0,59009,0,7551,0,8.10038
36,1,Y2,0,39119,0,5041,0,8.12874
37,1,X1,119648,60587,16079,8030,8.73599,8.68356
37,1,X2,58910,29659,7773,3870,8.71941,8.77804
37,1,Y1,0,54244,0,7123,0,8.71796
37,1,Y2,0,36002,0,4777,0,8.70881
38,1,X1,109552,55450,14931,7573,9.34559,9.37779
38,1,X2,54266,27283,7247,3600,9.40955,9.435
38,1,Y1,0,49703,0,6740,0,9.46157
38,1,Y2,0,33030,0,4433,0,9.29686
39,1,X1,100044,50443,13696,7138,9.90997,9.94872
39,1,X2,49676,25066,6710,3432,9.95455,9.99068
39,1,Y1,0,45452,0,6278,0,9.97085
39,1,Y2,0,30057,0,4292,0,9.94991
40,1,X1,89952,45438,12900,6409,10.6075,10.563
40,1,X2,44642,22546,6458,3175,10.4619,10.4772
40,1,Y1,0,40782,0,5850,0,10.5858
40,1,Y2,0,27202,0,3734,0,10.4542
41,1,X1,80786,40935,11852,5829,11.3018,11.0606
41,1,X2,40354,20238,5814,2990,11.2317,11.2197
41,1,Y1,0,36608,0,5365,0,11.1329
41,1,Y2,0,24565,0,3454,0,11.086
42,1,X1,72309,36556,10879,5556,11.8777,11.8107
42,1,X2,36203,18216,5461,2711,11.7444,11.7632
42,1,Y1,0,32738,0,5033,0,11.8762
42,1,Y2,0,22034,0,3234,0,11.6688
43,1,X1,63748,32234,9877,5009,12.4452,12.4951
43,1,X2,32132,16124,4871,2484,12.2757,12.254
43,1,Y1,0,28747,0,4535,0,12.5517
43,1,Y2,0,19611,0,2958,0,12.2059
44,1,X1,55953,28333,9057,4592,13.0681,12.9499
44,1,X2,28435,14214,4529,2345,12.8987,12.9446
44,1,Y1,0,25260,0,4136,0,13.0805
44,1,Y2,0,17287,0,2801,0,12.7526
45,1,X1,49131,24913,8127,4039,13.8206,13.6036
45,1,X2,24889,12565,4101,1955,13.7601,13.5703
45,1,Y1,0,22292,0,3562,0,13.5733
45,1,Y2,0,15186,0,2432,0,13.6213
46,1,X1,42633,21636,7114,3560,14.2862,14.3736
46,1,X2,21795,10967,3506,1821,14.0131,14.0044
46,1,Y1,0,19313,0,3187,0,14.1312
46,1,Y2,0,13290,0,2194,0,14.4193
47,1,X1,37129,18776,6140,3198,14.8935,14.945
47,1,X2,19027,9584,3158,1554,14.5611,14.8938
47,1,Y1,0,16732,0,2836,0,14.9383
47,1,Y2,0,11628,0,1916,0,14.9134
48,1,X1,409830,204957,5504,2757,15.4644,15.6231
48,1,X2,203676,100227,2778,1368,15.5961,15.3012
48,1,Y1,0,185376,0,2456,0,15.5822
48,1,Y2,0,119808,0,1669,0,15.4194
49,1,X1,712682,355551,43238,21553,2.68477,2.71586
49,1,X2,355866,177443,21738,10469,2.72242,2.76407
49,1,Y1,0,320777,0,19450,0,2.74555
49,1,Y2,0,212217,0,12572,0,2.71007
50,1,X1,803879,401514,74271,37154,2.36181,2.40017
50,1,X2,400963,199776,37153,18446,2.36503,2.406
50,1,Y1,0,361799,0,33483,0,2.37858
50,1,Y2,0,239491,0,22117,0,2.43772
51,1,X1,795329,397190,83960,42075,2.84933,2.8425
51,1,X2,396155,196906,41994,20852,2.83979,2.84836
51,1,Y1,0,357970,0,37854,0,2.83714
51,1,Y2,0,236126,0,25073,0,2.85546
52,1,X1,793939,396366,84038,42377,3.55329,3.55127
52,1,X2,395981,197024,41908,20684,3.52995,3.61115
52,1,Y1,0,357407,0,37920,0,3.56627
52,1,Y2,0,235983,0,25141,0,3.5779
53,1,X1,791847,395165,85201,42641,4.18424,4.16554
53,1,X2,394583,195875,42491,21225,4.15949,4.1551
53,1,Y1,0,355925,0,38452,0,4.16228
53,1,Y2,0,235115,0,25414,0,4.16176
54,1,X1,787869,393243,86128,43180,4.69585,4.70035
54,1,X2,392117,194663,42618,21144,4.72171,4.71959
54,1,Y1,0,354497,0,38689,0,4.70147
54,1,Y2,0,233409,0,25635,0,4.71453
55,1,X1,783260,390348,86039,43412,5.22888,5.22722
55,1,X2,389326,193512,43213,21482,5.2493,5.25649
55,1,Y1,0,351869,0,39002,0,5.23022
55,1,Y2,0,231991,0,25892,0,5.24699
56,1,X1,777877,387659,87794,43479,5.70276,5.72794
56,1,X2,386617,192296,43296,21499,5.71868,5.71943
56,1,Y1,0,349419,0,39021,0,5.72615
56,1,Y2,0,230536,0,25957,0,5.72358
57,1,X1,772098,385665,87981,43536,6.12452,6.13297
57,1,X2,383016,190521,43697,21665,6.13367,6.10358
57,1,Y1,0,347620,0,39245,0,6.12529
57,1,Y2,0,228566,0,25956,0,6.12005
58,1,X1,764742,381837,88499,43936,6.55267,6.52388
58,1,X2,380094,189504,43541,21611,6.53589,6.57929
58,1,Y1,0,344515,0,39441,0,6.5471
58,1,Y2,0,226826,0,26106,0,6.53467
59,1,X1,757911,378917,88844,44131,6.90751,6.89257
59,1,X2,376167,187268,44040,22085,6.94575,6.89174
59,1,Y1,0,340875,0,39964,0,6.8937
59,1,Y2,0,225310,0,26252,0,6.89014
60,1,X1,751149,376234,88631,43849,7.25348,7.21688
60,1,X2,372213,185297,43875,21544,7.27884,7.26471
60,1,Y1,0,338215,0,39461,0,7.22559
60,1,Y2,0,223316,0,25932,0,7.24337
61,1,X1,742879,372093,89019,44316,7.4676,7.52514
61,1,X2,369563,184261,43781,21921,7.53491,7.55691
61,1,Y1,0,335058,0,39918,0,7.54539
61,1,Y2,0,221296,0,26319,0,7.52088
62,1,X1,735960,368905,88773,44234,7.79846,7.79034
62,1,X2,364906,182355,44417,21795,7.76174,7.78275
62,1,Y1,0,331943,0,39668,0,7.79147
62,1,Y2,0,219317,0,26361,0,7.78237
63,1,X1,729441,366380,88184,44090,7.96003,7.99195
63,1,X2,361199,180157,43664,21913,8.00268,8.01278
63,1,Y1,0,329250,0,39899,0,8.01108
63,1,Y2,0,217287,0,26104,0,7.98019
64,1,X1,722366,362207,87669,43731,8.16016,8.2008
64,1,X2,359282,179799,43271,21575,8.24005,8.28334
64,1,Y1,0,326856,0,39210,0,8.23129
64,1,Y2,0,215150,0,26096,0,8.22321
65,1,X1,715940,359410,87906,43715,8.32018,8.37138
65,1,X2,355822,178088,43472,21516,8.32927,8.33231
65,1,Y1,0,323742,0,39350,0,8.35398
65,1,Y2,0,213756,0,25881,0,8.36537
66,1,X1,780555,392020,86260,43402,8.47122,8.45901
66,1,X2,385619,192733,43578,21585,8.48995,8.42868
66,1,Y1,0,353319,0,39196,0,8.44061
66,1,Y2,0,231434,0,25791,0,8.4616
67,1,X1,822785,412128,93569,46900,7.97127,7.92998
67,1,X2,410379,206172,46055,23013,7.97229,8.02034
67,1,Y1,0,373577,0,42267,0,7.95699
67,1,Y2,0,244723,0,27646,0,7.9639
68,1,X1,830926,415475,97579,49164,7.77242,7.73357
68,1,X2,414814,208044,48347,24611,7.72075,7.6684
68,1,Y1,0,376245,0,44714,0,7.71253
68,1,Y2,0,247274,0,29061,0,7.71075
69,1,X1,825187,412600,98411,49210,7.72363,7.80784
69,1,X2,411411,205962,48921,24632,7.75033,7.75154
69,1,Y1,0,373360,0,44722,0,7.76374
69,1,Y2,0,245202,0,29120,0,7.82795
70,1,X1,820093,409871,97697,48766,7.87775,7.9141
70,1,X2,412089,206647,48605,24588,7.84983,7.82764
70,1,Y1,0,371478,0,44188,0,7.85829
70,1,Y2,0,245040,0,29166,0,7.92577
71,1,X1,817747,408812,97865,48646,8.02128,8.01188
71,1,X2,410507,205138,49021,24689,7.93837,7.85722
71,1,Y1,0,369355,0,44181,0,7.98732
71,1,Y2,0,244595,0,29154,0,7.91812
72,1,X1,806785,403037,97227,48849,8.01086,8.02436
72,1,X2,404135,201791,49071,24528,7.97021,7.95532
72,1,Y1,0,364895,0,44059,0,8.00747
72,1,Y2,0,239933,0,29318,0,7.99198
73,1,X1,792995,395435,95429,47882,8.17171,8.15559
73,1,X2,400125,200175,47971,24113,8.09756,8.13636
73,1,Y1,0,358781,0,43445,0,8.12011
73,1,Y2,0,236829,0,28550,0,8.19335
74,1,X1,812102,404431,94370,47428,8.28315,8.34206
74,1,X2,408688,204368,47554,23821,8.23815,8.22279
74,1,Y1,0,367227,0,42828,0,8.31395
74,1,Y2,0,241572,0,28421,0,8.28444
75,1,X1,807795,402590,97152,48138,8.16454,8.19575
75,1,X2,406277,203306,48764,24374,8.17453,8.02634
75,1,Y1,0,365506,0,43718,0,8.14651
75,1,Y2,0,240390,0,28794,0,8.12711
76,1,X1,805420,402111,96738,47989,8.18146,8.27208
76,1,X2,404704,202491,48580,24469,8.21676,8.11222
76,1,Y1,0,364719,0,43718,0,8.23718
76,1,Y2,0,239883,0,28740,0,8.18907
77,1,X1,804228,401621,96443,47992,8.24723,8.26827
77,1,X2,403496,201842,48303,24276,8.25539,8.27735
77,1,Y1,0,364312,0,43713,0,8.23984
77,1,Y2,0,239151,0,28555,0,8.31952
78,1,X1,802990,400982,95970,47897,8.27596,8.27116
78,1,X2,402740,201273,48158,24431,8.2947,8.24649
78,1,Y1,0,363177,0,43716,0,8.21473
78,1,Y2,0,239078,0,28612,0,8.33633
79,1,X1,801079,400160,96174,47931,8.3153,8.34011
79,1,X2,402317,200769,47706,23937,8.28508,8.26482
79,1,Y1,0,362477,0,43412,0,8.29473
79,1,Y2,0,238452,0,28456,0,8.34601
80,1,X1,800019,399730,96061,47950,8.37762,8.35912
80,1,X2,401473,199887,47893,24426,8.29994,8.33501
80,1,Y1,0,361984,0,43524,0,8.34774
80,1,Y2,0,237633,0,28852,0,8.35589
81,1,X1,797909,399209,96516,47928,8.36017,8.32207
81,1,X2,400441,199518,48238,24065,8.36627,8.35184
81,1,Y1,0,361345,0,43724,0,8.36021
81,1,Y2,0,237382,0,28269,0,8.28841
82,1,X1,797397,398487,95491,47967,8.40566,8.37407
82,1,X2,400055,198945,47757,24133,8.39917,8.32549
82,1,Y1,0,360485,0,43497,0,8.35961
82,1,Y2,0,236947,0,28603,0,8.35507
83,1,X1,796476,398435,95385,47984,8.38603,8.41964
83,1,X2,398560,198689,48139,23798,8.45175,8.39016
83,1,Y1,0,360394,0,43323,0,8.42151
83,1,Y2,0,236730,0,28459,0,8.39214
84,1,X1,806257,403647,95591,47779,8.34563,8.4026
84,1,X2,404109,201768,47475,23740,8.43444,8.49339
84,1,Y1,0,365135,0,43344,0,8.41897
84,1,Y2,0,240280,0,28175,0,8.45391
85,1,X1,813054,407812,96623,48512,8.30201,8.29203
85,1,X2,407084,203457,48459,23821,8.33771,8.32341
85,1,Y1,0,368559,0,43607,0,8.30977
85,1,Y2,0,242710,0,28726,0,8.29113
86,1,X1,815010,408539,97337,48803,8.26055,8.22923
86,1,X2,407318,203724,48497,24088,8.27332,8.2407
86,1,Y1,0,369591,0,43680,0,8.21536
86,1,Y2,0,242672,0,29211,0,8.25942
87,1,X1,812798,408179,97791,48810,8.28472,8.20621
87,1,X2,406672,203424,48849,24467,8.35028,8.2919
87,1,Y1,0,369162,0,44256,0,8.21554
87,1,Y2,0,242441,0,29021,0,8.26422
88,1,X1,813381,408116,97237,49044,8.27269,8.23824
88,1,X2,406005,202895,48901,24448,8.31022,8.27291
88,1,Y1,0,369124,0,43969,0,8.23553
88,1,Y2,0,241887,0,29523,0,8.27098
89,1,X1,813555,407460,97426,49034,8.29705,8.2266
89,1,X2,404727,202271,48850,24424,8.32901,8.28668
89,1,Y1,0,368211,0,44447,0,8.25358
89,1,Y2,0,241520,0,29011,0,8.23584
90,1,X1,810623,406043,97963,49052,8.272,8.31854
90,1,X2,404109,202445,48637,24288,8.21749,8.3321
90,1,Y1,0,367255,0,44338,0,8.31282
90,1,Y2,0,241233,0,29002,0,8.33863
91,1,X1,809697,404906,96899,48522,8.3132,8.2936
91,1,X2,402603,201689,48279,24342,8.39497,8.32623
91,1,Y1,0,366110,0,43680,0,8.34389
91,1,Y2,0,240485,0,29184,0,8.24555
92,1,X1,812812,406998,96985,48403,8.31516,8.35837
92,1,X2,403564,202054,48339,24362,8.39417,8.22162
92,1,Y1,0,367713,0,43939,0,8.33692
92,1,Y2,0,241339,0,28826,0,8.27548
93,1,X1,809507,405633,98755,48772,8.31802,8.27991
93,1,X2,402941,202325,48737,24129,8.29559,8.35895
93,1,Y1,0,366750,0,44078,0,8.30861
93,1,Y2,0,241208,0,28823,0,8.30219
94,1,X1,809357,405934,96724,48288,8.31014,8.32213
94,1,X2,403295,202395,48036,24138,8.35528,8.28528
94,1,Y1,0,366974,0,43675,0,8.33866
94,1,Y2,0,241355,0,28751,0,8.26608
95,1,X1,809549,405899,97123,48567,8.32982,8.31937
95,1,X2,402567,201952,48559,24193,8.30349,8.34688
95,1,Y1,0,366767,0,43999,0,8.3358
95,1,Y2,0,241084,0,28761,0,8.31737
96,1,X1,808804,405718,97005,48356,8.36911,8.328
96,1,X2,403540,202498,47803,24206,8.38713,8.34673
96,1,Y1,0,366930,0,43785,0,8.3023
96,1,Y2,0,241286,0,28777,0,8.38288
97,1,X1,808350,405336,96757,48594,8.31432,8.38315
97,1,X2,403022,202207,48265,24342,8.36028,8.32425
97,1,Y1,0,366099,0,44164,0,8.36124
97,1,Y2,0,241444,0,28772,0,8.36695
98,1,X1,809080,405802,96586,48531,8.34496,8.37537
98,1,X2,403120,201637,48166,24259,8.41913,8.41552
98,1,Y1,0,366032,0,43829,0,8.40316
98,1,Y2,0,241407,0,28961,0,8.36694
99,1,X1,806714,403986,97575,48957,8.34989,8.35413
99,1,X2,403608,201963,48813,24415,8.32178,8.3556
99,1,Y1,0,365199,0,44186,0,8.35821
99,1,Y2,0,240750,0,29186,0,8.34917
100,1,X1,807100,403999,96813,48561,8.35052,8.33278
100,1,X2,403770,201953,48239,24249,8.31329,8.38175
100,1,Y1,0,365235,0,43847,0,8.3364
100,1,Y2,0,240717,0,28963,0,8.3683
101,1,X1,808476,404396,96317,48232,8.35436,8.39463
101,1,X2,404100,201997,48247,24214,8.36228,8.32758
101,1,Y1,0,365560,0,43774,0,8.34642
101,1,Y2,0,240833,0,28672,0,8.41162
102,1,X1,809643,404328,97369,48893,8.35302,8.36654
102,1,X2,405421,202959,48813,24391,8.30199,8.37067
102,1,Y1,0,365907,0,44347,0,8.38681
102,1,Y2,0,241380,0,28937,0,8.33894
103,1,X1,810410,404817,97768,48424,8.32561,8.3711
103,1,X2,405468,203317,49006,24291,8.33947,8.22309
103,1,Y1,0,366398,0,43681,0,8.35562
103,1,Y2,0,241736,0,29034,0,8.27055
104,1,X1,810320,405080,97353,48484,8.32783,8.36008
104,1,X2,404572,203483,48871,24208,8.26906,8.30841
104,1,Y1,0,367281,0,43672,0,8.31455
104,1,Y2,0,241282,0,29020,0,8.38549
105,1,X1,809534,404362,96950,48803,8.32084,8.40434
105,1,X2,405032,203799,48328,24417,8.32882,8.31806
105,1,Y1,0,366813,0,44355,0,8.40307
105,1,Y2,0,241348,0,28865,0,8.33331
106,1,X1,809651,404593,97448,48486,8.32833,8.34084
106,1,X2,404895,203372,48794,24589,8.28965,8.27752
106,1,Y1,0,366817,0,44070,0,8.30706
106,1,Y2,0,241148,0,29005,0,8.33849
107,1,X1,810827,404664,96882,48538,8.33595,8.3215
107,1,X2,404951,203104,48272,24525,8.34005,8.26781
107,1,Y1,0,366577,0,44217,0,8.26619
107,1,Y2,0,241191,0,28846,0,8.36064
108,1,X1,810822,404332,97324,48723,8.29391,8.30333
108,1,X2,405180,203264,48748,24352,8.36272,8.30889
108,1,Y1,0,366826,0,43937,0,8.30942
108,1,Y2,0,240770,0,29138,0,8.29879
109,1,X1,810953,404396,97067,48342,8.30512,8.34326
109,1,X2,405085,203123,48207,24270,8.3318,8.27524
109,1,Y1,0,366922,0,43785,0,8.33418
109,1,Y2,0,240597,0,28827,0,8.29979
110,1,X1,812043,405062,96971,48387,8.32392,8.33218
110,1,X2,405763,203237,48351,24315,8.29772,8.34263
110,1,Y1,0,367239,0,43908,0,8.27653
110,1,Y2,0,241060,0,28794,0,8.42585
111,1,X1,812050,404878,97639,48482,8.32767,8.3063
111,1,X2,405514,203219,48541,24306,8.37068,8.24068
111,1,Y1,0,367340,0,43794,0,8.27522
111,1,Y2,0,240757,0,28994,0,8.29823
112,1,X1,812365,404510,97067,48872,8.32036,8.28904
112,1,X2,405451,202720,48365,24643,8.30088,8.38855
112,1,Y1,0,366938,0,44400,0,8.32608
112,1,Y2,0,240292,0,29115,0,8.31678
113,1,X1,812512,404810,97326,48385,8.34035,8.30247
113,1,X2,404962,202666,48704,24465,8.36106,8.30251
113,1,Y1,0,366879,0,44147,0,8.32172
113,1,Y2,0,240597,0,28703,0,8.2729
114,1,X1,812039,404994,97517,48570,8.26226,8.33644
114,1,X2,404741,202549,48445,24135,8.28116,8.3579
114,1,Y1,0,366644,0,43920,0,8.3553
114,1,Y2,0,240899,0,28785,0,8.32566
115,1,X1,811724,404960,97391,49122,8.32143,8.31397
115,1,X2,404296,202389,48485,24304,8.32559,8.35768
115,1,Y1,0,366645,0,44327,0,8.34076
115,1,Y2,0,240704,0,29099,0,8.30967
116,1,X1,812001,404676,96642,48570,8.34041,8.35853
116,1,X2,403779,202508,49026,24363,8.3499,8.30485
116,1,Y1,0,366741,0,43829,0,8.28513
116,1,Y2,0,240443,0,29104,0,8.42413
117,1,X1,812898,404991,96986,48450,8.31075,8.31909
117,1,X2,403602,202199,48612,24478,8.33148,8.3198
117,1,Y1,0,366919,0,43868,0,8.36124
117,1,Y2,0,240271,0,29060,0,8.25606
118,1,X1,812916,405311,97940,48391,8.29608,8.32632
118,1,X2,403268,201881,48474,24182,8.32087,8.36494
118,1,Y1,0,366830,0,43755,0,8.31946
118,1,Y2,0,240362,0,28818,0,8.36914
119,1,X1,812009,405208,97616,48506,8.33811,8.2698
119,1,X2,402979,201784,48820,24440,8.30739,8.36874
119,1,Y1,0,366864,0,43937,0,8.31029
119,1,Y2,0,240128,0,29009,0,8.29184
120,1,X1,811567,405450,98101,48401,8.35254,8.40045
120,1,X2,402811,202105,48593,24237,8.41638,8.36061
120,1,Y1,0,367064,0,43750,0,8.40178
120,1,Y2,0,240491,0,28888,0,8.365
121,1,X1,812710,405702,96864,48581,8.32882,8.2762
121,1,X2,402326,202197,48348,23931,8.33857,8.2852
121,1,Y1,0,367081,0,43861,0,8.28173
121,1,Y2,0,240818,0,28651,0,8.27524
122,1,X1,811105,405675,98111,48530,8.34627,8.36753
122,1,X2,402229,202328,48819,24422,8.35939,8.31439
122,1,Y1,0,367271,0,43916,0,8.32936
122,1,Y2,0,240732,0,29036,0,8.38056
123,1,X1,811767,405542,96835,48815,8.33847,8.29427
123,1,X2,402291,202169,48425,24531,8.32355,8.32596
123,1,Y1,0,366998,0,44223,0,8.32904
123,1,Y2,0,240713,0,29123,0,8.26817
124,1,X1,810949,406164,98289,48568,8.36652,8.37026
124,1,X2,402295,201889,48315,24403,8.36699,8.39975
124,1,Y1,0,367195,0,44059,0,8.40564
124,1,Y2,0,240858,0,28912,0,8.34124
125,1,X1,811030,405888,96873,48606,8.3816,8.31134
125,1,X2,402734,202485,48385,24249,8.36476,8.38958
125,1,Y1,0,367456,0,43945,0,8.36782
125,1,Y2,0,240917,0,28910,0,8.29111
126,1,X1,810851,406075,97730,48519,8.31347,8.30891
126,1,X2,403459,202421,48072,24294,8.32636,8.29283
126,1,Y1,0,367394,0,44126,0,8.33298
126,1,Y2,0,241102,0,28687,0,8.25827
127,1,X1,810878,406162,97305,48753,8.32706,8.34408
127,1,X2,403886,201936,48341,24430,8.35065,8.31404
127,1,Y1,0,367394,0,44140,0,8.31248
127,1,Y2,0,240704,0,29043,0,8.36684
128,1,X1,811036,405656,97021,48450,8.33506,8.42014
128,1,X2,404458,202271,48383,24284,8.26365,8.33285
128,1,Y1,0,367532,0,43733,0,8.39663
128,1,Y2,0,240395,0,29001,0,8.3825
129,1,X1,811511,405960,97173,48275,8.37433,8.34173
129,1,X2,404915,202331,48389,24296,8.33233,8.34018
129,1,Y1,0,367477,0,44057,0,8.37883
129,1,Y2,0,240814,0,28514,0,8.28309
