Time,NodeID,Gender,NumIndividuals,NumInfected,NodeProp=DiscoMatangaStatus
112.308,9,F,0,0,OPEN
112.308,8,M,0,0,OPEN
112.308,8,F,0,0,OPEN
112.308,7,M,0,0,OPEN
112.308,7,F,0,0,OPEN
112.308,6,M,0,0,OPEN
112.308,6,F,0,0,OPEN
112.308,5,M,0,0,OPEN
112.308,5,F,0,0,OPEN
112.308,4,M,0,0,OPEN
112.308,4,F,0,0,OPEN
112.308,3,M,0,0,OPEN
112.308,3,F,0,0,OPEN
112.308,2,M,0,0,OPEN
112.308,2,F,0,0,OPEN
112.308,1,M,10047,1020,OPEN
112.308,1,F,10101,1018,OPEN
119.327,11,M,0,0,OPEN
119.327,11,F,0,0,OPEN
119.327,10,M,0,0,OPEN
119.327,10,F,0,0,OPEN
119.327,9,M,0,0,OPEN
119.327,9,F,0,0,OPEN
119.327,8,M,0,0,OPEN
119.327,8,F,0,0,OPEN
119.327,7,M,0,0,OPEN
119.327,7,F,0,0,OPEN
119.327,6,M,0,0,OPEN
119.327,6,F,0,0,OPEN
119.327,5,M,0,0,OPEN
119.327,5,F,0,0,OPEN
119.327,4,M,0,0,OPEN
119.327,4,F,0,0,OPEN
119.327,3,M,0,0,OPEN
119.327,3,F,0,0,OPEN
119.327,2,M,0,0,OPEN
119.327,2,F,0,0,OPEN
119.327,1,M,10057,1024,OPEN
119.327,1,F,10105,1010,OPEN
126.346,11,M,0,0,OPEN
126.346,11,F,0,0,OPEN
126.346,10,M,0,0,OPEN
126.346,10,F,0,0,OPEN
126.346,9,M,0,0,OPEN
126.346,9,F,0,0,OPEN
126.346,8,M,0,0,OPEN
126.346,8,F,0,0,OPEN
126.346,7,M,0,0,OPEN
126.346,7,F,0,0,OPEN
126.346,6,M,0,0,OPEN
126.346,6,F,0,0,OPEN
126.346,5,M,0,0,OPEN
126.346,5,F,0,0,OPEN
126.346,4,M,0,0,OPEN
126.346,4,F,0,0,OPEN
126.346,3,M,0,0,OPEN
126.346,3,F,0,0,OPEN
126.346,2,M,0,0,OPEN
126.346,2,F,0,0,OPEN
126.346,1,M,10067,1020,OPEN
126.346,1,F,10112,1011,OPEN
133.365,11,M,0,0,OPEN
133.365,11,F,0,0,OPEN
133.365,10,M,0,0,OPEN
133.365,10,F,0,0,OPEN
133.365,9,M,0,0,OPEN
133.365,9,F,0,0,OPEN
133.365,8,M,0,0,OPEN
133.365,8,F,0,0,OPEN
133.365,7,M,0,0,OPEN
133.365,7,F,0,0,OPEN
133.365,6,M,0,0,OPEN
133.365,6,F,0,0,OPEN
133.365,5,M,0,0,OPEN
133.365,5,F,0,0,OPEN
133.365,4,M,0,0,OPEN
133.365,4,F,0,0,OPEN
133.365,3,M,0,0,OPEN
133.365,3,F,0,0,OPEN
133.365,2,M,0,0,OPEN
133.365,2,F,0,0,OPEN
133.365,1,M,10072,1020,OPEN
133.365,1,F,10120,1014,OPEN
140.385,11,M,0,0,OPEN
140.385,11,F,0,0,OPEN
140.385,10,M,0,0,OPEN
140.385,10,F,0,0,OPEN
140.385,9,M,0,0,OPEN
140.385,9,F,0,0,OPEN
140.385,8,M,0,0,OPEN
140.385,8,F,0,0,OPEN
140.385,7,M,0,0,OPEN
140.385,7,F,0,0,OPEN
140.385,6,M,0,0,OPEN
140.385,6,F,0,0,OPEN
140.385,5,M,0,0,OPEN
140.385,5,F,0,0,OPEN
140.385,4,M,0,0,OPEN
140.385,4,F,0,0,OPEN
140.385,3,M,0,0,OPEN
140.385,3,F,0,0,OPEN
140.385,2,M,0,0,OPEN
140.385,2,F,0,0,OPEN
140.385,1,M,10073,1020,OPEN
140.385,1,F,10119,1014,OPEN
147.404,11,M,0,0,OPEN
147.404,11,F,0,0,OPEN
147.404,10,M,0,0,OPEN
147.404,10,F,0,0,OPEN
147.404,9,M,0,0,OPEN
147.404,9,F,0,0,OPEN
147.404,8,M,0,0,OPEN
147.404,8,F,0,0,OPEN
147.404,7,M,0,0,OPEN
147.404,7,F,0,0,OPEN
147.404,6,M,0,0,OPEN
147.404,6,F,0,0,OPEN
147.404,5,M,0,0,OPEN
147.404,5,F,0,0,OPEN
147.404,4,M,0,0,OPEN
147.404,4,F,0,0,OPEN
147.404,3,M,0,0,OPEN
147.404,3,F,0,0,OPEN
147.404,2,M,0,0,OPEN
147.404,2,F,0,0,OPEN
147.404,1,M,10080,1019,OPEN
147.404,1,F,10122,1018,OPEN
154.423,11,M,0,0,OPEN
154.423,11,F,0,0,OPEN
154.423,10,M,0,0,OPEN
154.423,10,F,0,0,OPEN
154.423,9,M,0,0,OPEN
154.423,9,F,0,0,OPEN
154.423,8,M,0,0,OPEN
154.423,8,F,0,0,OPEN
154.423,7,M,0,0,OPEN
154.423,7,F,0,0,OPEN
154.423,6,M,0,0,OPEN
154.423,6,F,0,0,OPEN
154.423,5,M,0,0,OPEN
154.423,5,F,0,0,OPEN
154.423,4,M,0,0,OPEN
154.423,4,F,0,0,OPEN
154.423,3,M,0,0,OPEN
154.423,3,F,0,0,OPEN
154.423,2,M,0,0,OPEN
154.423,2,F,0,0,OPEN
154.423,1,M,10088,1024,OPEN
154.423,1,F,10127,1024,OPEN
161.442,11,M,0,0,OPEN
161.442,11,F,0,0,OPEN
161.442,10,M,0,0,OPEN
161.442,10,F,0,0,OPEN
161.442,9,M,0,0,OPEN
161.442,9,F,0,0,OPEN
161.442,8,M,0,0,OPEN
161.442,8,F,0,0,OPEN
161.442,7,M,0,0,OPEN
161.442,7,F,0,0,OPEN
161.442,6,M,0,0,OPEN
161.442,6,F,0,0,OPEN
161.442,5,M,0,0,OPEN
161.442,5,F,0,0,OPEN
161.442,4,M,0,0,OPEN
161.442,4,F,0,0,OPEN
161.442,3,M,0,0,OPEN
161.442,3,F,0,0,OPEN
161.442,2,M,0,0,OPEN
161.442,2,F,0,0,OPEN
161.442,1,M,10088,1025,OPEN
161.442,1,F,10131,1028,OPEN
168.462,11,M,0,0,OPEN
168.462,11,F,0,0,OPEN
168.462,10,M,0,0,OPEN
168.462,10,F,0,0,OPEN
168.462,9,M,0,0,OPEN
168.462,9,F,0,0,OPEN
168.462,8,M,0,0,OPEN
168.462,8,F,0,0,OPEN
168.462,7,M,0,0,OPEN
168.462,7,F,0,0,OPEN
168.462,6,M,0,0,OPEN
168.462,6,F,0,0,OPEN
168.462,5,M,0,0,OPEN
168.462,5,F,0,0,OPEN
168.462,4,M,0,0,OPEN
168.462,4,F,0,0,OPEN
168.462,3,M,0,0,OPEN
168.462,3,F,0,0,OPEN
168.462,2,M,0,0,OPEN
168.462,2,F,0,0,OPEN
168.462,1,M,10099,1029,OPEN
168.462,1,F,10139,1026,OPEN
175.481,11,M,0,0,OPEN
175.481,11,F,0,0,OPEN
175.481,10,M,0,0,OPEN
175.481,10,F,0,0,OPEN
175.481,9,M,0,0,OPEN
175.481,9,F,0,0,OPEN
175.481,8,M,0,0,OPEN
175.481,8,F,0,0,OPEN
175.481,7,M,0,0,OPEN
175.481,7,F,0,0,OPEN
175.481,6,M,0,0,OPEN
175.481,6,F,0,0,OPEN
175.481,5,M,0,0,OPEN
