Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
10,4,998,2341,0,0,2341,3277,0,84221,165800,82900,787,0,0,0,0,0,256,78,0,13868.5,0.0724853,0,0,0,2341,0,0,0,787,0,0,0,0,0,0,0,0,0,0
11,1,1002,2008,0,0,2008,2978,0,90308,160200,80100,759,0,0,0,0,0,225,88,0,14169.5,0.0890083,0,0,0,2008,0,0,0,759,0,0,0,0,0,0,0,0,0,0
11,2,998,1998,0,0,1998,3100,0,90023,151600,75800,716,0,0,0,0,0,219,77,0,14454.5,0.0870402,0,0,0,1998,0,0,0,716,0,0,0,0,0,0,0,0,0,0
11,3,1001,2023,0,0,2023,3125,0,90442,150400,75200,715,0,0,0,0,0,207,59,0,14035.5,0.0853431,0,0,0,2023,0,0,0,715,0,0,0,0,0,0,0,0,0,0
11,4,999,2049,0,0,2049,2956,0,89957,146200,73100,689,0,0,0,0,0,220,72,0,14520.5,0.083646,0,0,0,2049,0,0,0,689,0,0,0,0,0,0,0,0,0,0
12,1,1000,1743,0,0,1743,2688,0,95967,116400,58200,560,0,0,0,0,0,200,65,0,14668.3,0.0884489,0,0,0,1743,0,0,0,560,0,0,0,0,0,0,0,0,0,0
12,2,998,1758,0,0,1758,2815,0,95799,122400,61200,588,0,0,0,0,0,181,60,0,14836.3,0.0953464,0,0,0,1758,0,0,0,588,0,0,0,0,0,0,0,0,0,0
12,3,1003,1765,0,0,1765,2832,0,95829,118200,59100,563,0,0,0,0,0,207,51,0,14806.3,0.0933212,0,0,0,1765,0,0,0,563,0,0,0,0,0,0,0,0,0,0
12,4,999,1829,0,0,1829,2678,0,95985,129800,64900,615,0,0,0,0,0,165,54,0,14650.3,0.0993195,0,0,0,1829,0,0,0,615,0,0,0,0,0,0,0,0,0,0
13,1,1000,1520,0,0,1520,2443,0,101594,105800,52900,504,0,0,0,0,0,171,52,0,14977.2,0.126016,0,0,0,1520,0,0,0,504,0,0,0,0,0,0,0,0,0,0
13,2,998,1538,0,0,1538,2542,0,101597,103000,51500,488,0,0,0,0,0,176,43,0,14974.2,0.121212,0,0,0,1538,0,0,0,488,0,0,0,0,0,0,0,0,0,0
13,3,1003,1576,0,0,1576,2562,0,101466,110600,55300,517,0,0,0,0,0,135,53,0,15105.2,0.125265,0,0,0,1576,0,0,0,517,0,0,0,0,0,0,0,0,0,0
13,4,999,1609,0,0,1609,2427,0,101575,115400,57700,549,0,0,0,0,0,174,48,0,14996.2,0.112868,0,0,0,1609,0,0,0,549,0,0,0,0,0,0,0,0,0,0
14,1,1000,1339,0,0,1339,2224,0,107164,104600,52300,502,0,0,0,0,0,132,48,0,15129.3,0.141562,0,0,0,1339,0,0,0,502,0,0,0,0,0,0,0,0,0,0
14,2,998,1325,0,0,1325,2302,0,106766,101400,50700,481,0,0,0,0,0,163,50,0,15527.3,0.145381,0,0,0,1325,0,0,0,481,0,0,0,0,0,0,0,0,0,0
