SIM_TIME,YEAR,NODE_ID,REL_ID,REL_TYPE (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,SRC_ID,SRC_INFECTED,SRC_GENDER,SRC_AGE,SRC_IP,SRC_current_relationship_count,SRC_lifetime_relationship_count,SRC_relationships_in_last_6_months,SRC_FLAGS,SRC_CIRCUMSIZED,SRC_STI,SRC_SUPERSPREADER,SRC_INF_AGE,DEST_ID,DEST_INFECTED,DEST_GENDER,DEST_AGE,DEST_IP,DEST_current_relationship_count,DEST_lifetime_relationship_count,DEST_relationships_in_last_6_months,DEST_FLAGS,DEST_CIRCUMSIZED,DEST_STI,DEST_SUPERSPREADER
42,1960.62,1,570,1,0,5830,1,1,6649.32,"",1,1,1,0,0,0,0,6607.32,10097,1,0,9570.11,"",1,1,1,0,0,0,0
42,1960.62,1,572,1,0,8146,1,1,7283.32,"",1,1,1,0,0,0,0,7241.32,15203,1,0,5053.54,"",1,1,1,0,0,0,0
43,1960.62,1,585,1,0,7471,1,1,6739.3,"",1,1,1,0,0,0,0,6697.3,2677,1,0,9544.69,"",1,1,1,0,0,0,0
43,1960.62,1,576,0,0,530,1,1,5824.84,"",1,1,1,0,0,0,0,5781.84,5106,1,0,8022.31,"",1,1,1,0,0,0,0
43,1960.62,1,578,0,0,5662,1,1,6804.81,"",1,1,1,0,0,0,0,6761.81,13532,1,0,6768.66,"",1,1,1,0,0,0,0
43,1960.62,1,583,1,0,8378,1,1,5892.6,"",1,1,1,0,0,0,0,5849.6,16194,1,0,8043.47,"",1,1,1,0,0,0,0
43,1960.62,1,584,1,0,11545,1,1,6342.85,"",1,1,1,0,0,0,0,6299.85,17153,1,0,8422.31,"",1,1,1,0,0,0,0
44,1960.62,1,588,0,0,13725,1,1,6190.42,"",1,1,1,0,0,0,0,6147.42,86,1,0,10840.3,"",1,1,1,0,0,0,0
44,1960.62,1,595,1,0,11410,1,1,6707.17,"",1,1,1,0,0,0,0,6664.17,3783,1,0,12199,"",1,1,1,0,0,0,0
44,1960.62,1,590,0,0,6496,1,1,6140.86,"",1,1,1,0,0,0,0,6096.86,7027,1,0,8873.99,"",1,1,1,0,0,0,0
44,1960.62,1,597,1,0,5659,1,1,5954.8,"",1,1,1,0,0,0,0,5910.8,10904,1,0,8155.99,"",1,1,1,0,0,0,0
